기업코드,IFRS,CFS,종목코드,회사명,자산총계,자본총계,매출총이익,유동자산,유동부채,당기순이익,부채총계,매출액(수익),영업활동으로인한현금흐름,영업이익,주당배당금,EBITDA,날짜,시가총액,주가,주식수,GP/A,PBR,유동비율,NCAV,PER,PSR,PCR,2010-당기순이익,2009-당기순이익,2008-당기순이익,2007-당기순이익,2006-당기순이익,증자
00102140,1,1,009140,경인전자,63390000000.0,55479999999.0,5160000000.0,40880000000.0,6650000000.0,919999999.0,7909999999.0,32920000000.0,3240000000.0,350000000.0,50000000000.0,1170000000.0,2012-09-03,21676998600.0,13350.0,13350.0,0.08140085186938002,0.3907173504035818,6.147368421052631,1.5209670217444218,23.56195502561082,0.6584750486026731,6.690431666666667,3260000000.0,6280000000.0,3120000000.0,9020000000.0,850000000.0,0
00102353,1,1,024910,경창산업,380990000000.0,71790000000.0,30310000000.0,129330000000.0,222400000000.0,7040000000.0,309200000000.0,357160000000.0,35130000000.0,8009999999.0,3100000000.0,69990000000.0,2012-09-03,83234400000.0,4795.0,4795.0,0.07955589385548177,1.1594149603008777,0.5815197841726619,-2.1610055457839548,11.823068181818181,0.233045133833576,2.3693253629376603,10990000000.0,2800000000.0,-5940000000.0,310000000.0,1050000000.0,1
00102432,1,1,013580,계룡건설산업,1561230000000.0,513610000000.0,132770000000.0,1138530000000.0,652690000000.0,11850000000.0,1047620000000.0,1742430000000.0,142810000000.0,44750000000.0,10000000000.0,45670000000.0,2012-09-03,83861216730.0,9400.0,9400.0,0.08504192207426196,0.16327800613305815,1.7443656253351514,1.0840529573127267,7.076895926582279,0.04812888708872092,0.5872223004691548,14250000000.0,30760000000.0,36870000000.0,48890000000.0,54340000000.0,0
00102618,1,1,012200,계양전기,170610000000.0,138600000000.0,39990000000.0,113330000000.0,26350000000.0,6620000000.0,32010000000.0,234660000000.0,2740000000.0,5600000000.0,5000000000.0,13200000000.0,2012-09-03,89324000000.0,2710.0,2710.0,0.2343942324599965,0.6444733044733044,4.300948766603415,0.9103936232143657,13.493051359516617,0.38065285945623456,32.6,5540000000.0,4660000000.0,4660000000.0,8980000000.0,5340000000.0,0
00102751,1,1,002140,고려산업,124890000000.0,56070000000.0,22020000000.0,61100000000.0,53629999999.0,4370000000.0,68830000000.0,176880000000.0,4450000000.0,6780000000.0,3000000000.0,7780000000.0,2012-09-03,22395603650.0,4615.0,4615.0,0.17631515733845785,0.399422215980025,1.1392877121226792,-0.34515702817414345,5.12485209382151,0.12661467463817278,5.032719921348314,5660000000.0,8790000000.0,-6270000000.0,3410000000.0,2860000000.0,0
00102760,1,1,011160,두산건설,5088200000000.0,1266180000000.0,275310000000.0,3592800000000.0,2581410000000.0,-294200000000.0,3822019999999.0,2783320000000.0,-128300000000.0,-308690000000.0,0.0,-219169999999.0,2012-09-03,478768972440.0,2780.0,2780.0,0.0541075429424944,0.37812078254276643,1.391797506014155,-0.47876953853296367,-1.6273588458191706,0.17201362848684304,-3.7316365739672643,5950000000.0,50880000000.0,41300000000.0,74230000000.0,15730000000.0,1
00102858,1,1,010130,고려아연,4606180000000.0,3510410000000.0,1098350000000.0,2438550000000.0,686320000000.0,713730000000.0,1095770000000.0,5556410000000.0,909320000000.0,963640000000.0,500000000000.0,1074390000000.0,2012-09-03,8161275000000.0,421500.0,421500.0,0.23845138487857617,2.3248780057030376,3.5530801958270195,0.16453066463267074,11.434681181959565,1.4688035980066265,8.975140764527339,490820000000.0,413689999999.0,282720000000.0,421710000000.0,425239999999.0,0
00103006,1,1,002240,고려제강,1823259999999.0,1271780000000.0,217800000000.0,617570000000.0,379680000000.0,107290000000.0,551480000000.0,1128950000000.0,102300000000.0,101460000000.0,22800000000.0,201410000000.0,2012-09-03,492750000000.0,32650.0,32650.0,0.11945635839107942,0.3874490871062605,1.6265539401601348,0.1341248097412481,4.592692702022556,0.4364675140617388,4.816715542521994,78270000000.0,85010000000.0,110540000000.0,32760000000.0,15330000000.0,1
00103042,1,1,009070,케이씨티시,272590000000.0,148380000000.0,46210000000.0,71250000000.0,53590000000.0,3429999999.0,124209999999.0,286850000000.0,11230000000.0,9030000000.0,2000000000.0,15930000000.0,2012-09-03,45300000000.0,15150.0,15150.0,0.16952199273634397,0.30529720986655884,1.3295390931143871,-1.1690949227152319,13.206997088398541,0.15792225902039395,4.033837934105076,1650000000.0,3090000000.0,4660000000.0,14510000000.0,1250000000.0,0
00103130,1,1,009810,엔케이물산,59910000000.0,56979999999.0,2860000000.0,44850000000.0,2200000000.0,-4960000000.0,2930000000.0,16069999999.0,2760000000.0,-520000000.0,0.0,2800000000.0,2012-09-03,16438420625.0,587.0,587.0,0.04773827407778334,0.28849457046838356,20.386363636363637,2.5501233333965745,-3.3141977066532258,1.0229259879292425,5.955949501811594,2340000000.0,-4229999999.0,-7540000000.0,-1490000000.0,-12760000000.0,0
00103510,1,1,023800,인지컨트롤스,696900000000.0,279550000000.0,55920000000.0,354730000000.0,342620000000.0,40170000000.0,417360000000.0,503560000000.0,37610000000.0,13450000000.0,10000000000.0,39460000000.0,2012-09-03,111578542080.0,7560.0,7560.0,0.08024106758501937,0.399136262135575,1.0353452804856693,-0.5613086426160265,2.777658503360717,0.2215794385574708,2.966725394310024,15430000000.0,5220000000.0,4000000000.0,9040000000.0,10780000000.0,0
00103592,1,1,009290,광동제약,321680000000.0,249519999999.0,136709999999.0,171370000000.0,60229999999.0,29889999999.0,72160000000.0,313990000000.0,27750000000.0,40420000000.0,5000000000.0,46100000000.0,2012-09-03,229079118870.0,4435.0,4435.0,0.42498756527915943,0.9180791875237179,2.8452598373376268,0.4330818124732732,7.664072227422686,0.729574568839772,8.255103382702703,25210000000.0,23190000000.0,21410000000.0,24160000000.0,17680000000.0,0
00103662,1,1,017040,광명전기,123890000000.0,62940000000.0,11280000000.0,70950000000.0,52470000000.0,-1830000000.0,60950000000.0,92380000000.0,1770000000.0,520000000.0,0.0,1710000000.0,2012-09-03,136730175325.0,3165.0,3165.0,0.09104851077568811,2.17238918533524,1.3522012578616351,0.07313674524464375,-74.71594280054644,1.4800841667568738,77.24868662429378,300000000.0,260000000.0,-459999999.0,840000000.0,4700000000.0,0
00104388,1,1,007690,국도화학,567440000000.0,315510000000.0,75750000000.0,353240000000.0,0.0,24930000000.0,251940000000.0,874829999999.0,76470000000.0,37790000000.0,80000000000.0,46590000000.0,2012-09-03,276585321600.0,47600.0,47600.0,0.13349429014521358,0.8766293353617952,inf,0.36625226318590004,11.094477400722022,0.31615893556498537,3.6169127971753627,26470000000.0,22660000000.0,29210000000.0,13250000000.0,16910000000.0,0
00104519,1,1,001140,국보,98870000000.0,34470000000.0,9160000000.0,41340000000.0,54220000000.0,-40000000.0,64400000000.0,130640000000.0,3250000000.0,740000000.0,400000000.0,4400000000.0,2012-09-03,15101368800.0,14850.0,14850.0,0.09264691008394862,0.43810179286335943,0.7624492807082257,-1.5270138955880608,-377.53422,0.11559529087568891,4.646575015384616,869999999.0,490000000.0,-409999999.0,270000000.0,-580000000.0,0
