기업코드,IFRS,CFS,종목코드,회사명,자산총계,자본총계,매출총이익,유동자산,유동부채,당기순이익,부채총계,매출액(수익),영업활동으로인한현금흐름,날짜,시가총액,주가,주식수,GP/A,PBR,유동비율,NCAV,PER,PSR,PCR,2000-당기순이익,1999-당기순이익,1998-당기순이익,1997-당기순이익,1996-당기순이익,증자
00100939,1,1,000860,강남제비스코,247960000000.0,156820000000.0,31130000000.0,83330000000.0,62570000000.0,2420000000.0,91140000000.0,206519999999.0,20920000000.0,2002-12-02,29256480000.0,30000.0,30000.0,0.12554444265204065,0.18656089784466268,1.3317883969953652,-0.2669494074475125,12.089454545454545,0.14166414875141228,1.3984933078393882,4780000000.0,8910000000.0,19240000000.0,,,0
00101220,1,1,001390,KG케미칼,123520000000.0,1720000000.0,31520000000.0,70490000000.0,12760000000.0,-2940000000.0,121800000000.0,134050000000.0,780000000.0,2002-12-02,10399837900.0,1450.0,1450.0,0.2551813471502591,6.0464173837209305,5.524294670846395,-4.9337307459378765,-3.537359829931973,0.07758178217083178,13.333125512820512,16900000000.0,-14450000000.0,-40270000000.0,,,0
00101336,1,1,008020,경남에너지,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25689999999.0,2002-12-02,35309753100.0,1185.0,1185.0,,inf,,0.0,inf,inf,1.3744551615949574,8710000000.0,229999999.0,1310000000.0,,,0
00101433,1,1,002100,경농,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10500000000.0,2002-12-02,21538163700.0,10350.0,10350.0,,inf,,0.0,inf,inf,2.051253685714286,4480000000.0,3040000000.0,1720000000.0,,,0
00101488,1,1,009450,경동나비엔,143060000000.0,82200000000.0,47540000000.0,101280000000.0,55160000000.0,11050000000.0,60860000000.0,187890000000.0,11900000000.0,2002-12-02,49420800000.0,21450.0,21450.0,0.33230812246609814,0.6012262773722628,1.836113125453227,0.8178742553742554,4.472470588235294,0.26303049656714034,4.153008403361344,6140000000.0,6680000000.0,1830000000.0,,,0
00101628,1,1,000050,경방,593630000000.0,342010000000.0,50160000000.0,108030000000.0,215060000000.0,-4300000000.0,251619999999.0,342760000000.0,950000000.0,2002-12-02,52832000000.0,25400.0,25400.0,0.08449707730404461,0.15447501535042835,0.5023249325769553,-2.717860387624924,-12.286511627906977,0.15413700548488737,55.612631578947365,2350000000.0,9240000000.0,4510000000.0,,,0
00102432,1,1,013580,계룡건설산업,355390000000.0,145710000000.0,56220000000.0,215010000000.0,167050000000.0,26120000000.0,209690000000.0,458950000000.0,0.0,2002-12-02,74573073450.0,8350.0,8350.0,0.15819240834013337,0.5117910469425572,1.2870996707572584,0.07133942258081895,2.855018125957121,0.16248626963721538,inf,15569999999.0,12890000000.0,5180000000.0,,,0
00102618,1,1,012200,계양전기,120320000000.0,99830000000.0,25220000000.0,65520000000.0,16519999999.0,10290000000.0,20490000000.0,122109999999.0,23830000000.0,2002-12-02,85412000000.0,2620.0,2620.0,0.20960771276595744,0.8555744766102374,3.966101695155333,0.5272092914344588,8.300485908649174,0.6994676930693593,3.5842215694502726,8760000000.0,10700000000.0,4450000000.0,,,0
00102645,1,1,012410,글로스텍,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4380000000.0,2002-12-02,13802595840.0,5760.0,5760.0,,inf,,0.0,inf,inf,3.151277589041096,3260000000.0,2030000000.0,1689999999.0,,,0
00102858,1,1,010130,고려아연,1676600000000.0,534150000000.0,189660000000.0,552220000000.0,632230000000.0,34670000000.0,1142450000000.0,1509820000000.0,96310000000.0,2002-12-02,361360500000.0,19150.0,19150.0,0.11312179410712156,0.6765150238696995,0.8734479540673489,-1.6333550567923167,10.422858379002019,0.23934012001430635,3.752055861281279,8940000000.0,45520000000.0,59300000000.0,,,0
00103006,1,1,002240,고려제강,690430000000.0,452089999999.0,80600000000.0,190470000000.0,155300000000.0,40450000000.0,238340000000.0,424410000000.0,7930000000.0,2002-12-02,127264722000.0,19500.0,19500.0,0.11673884390886839,0.28150306797381386,1.2264649066323245,-0.37614508756008597,3.1462230407911003,0.29986268466812754,16.04851475409836,16190000000.0,30010000000.0,35890000000.0,,,1
00104388,1,1,007690,국도화학,174570000000.0,117330000000.0,21530000000.0,111340000000.0,0.0,5950000000.0,57240000000.0,184360000000.0,4430000000.0,2002-12-02,75828538800.0,13050.0,13050.0,0.12333161482499856,0.6462843160317054,inf,0.713451701115992,12.744292235294118,0.4113068930353656,17.11705164785553,7390000000.0,8740000000.0,6060000000.0,,,0
00104856,1,1,016360,삼성증권,0.0,0.0,0.0,0.0,0.0,193470000000.0,0.0,0.0,1468950000000.0,2002-12-02,2343246072000.0,36800.0,36800.0,,inf,,0.0,12.111676601023415,inf,1.5951843643418768,123609999999.0,124909999999.0,12280000000.0,,,0
00104999,1,1,008600,윌비스,378850000000.0,193410000000.0,37770000000.0,131380000000.0,140200000000.0,63810000000.0,185450000000.0,166090000000.0,6809999999.0,2002-12-02,63272601400.0,5050.0,5050.0,0.09969644978223571,0.32714234734501835,0.9370898716119829,-0.8545562977279452,0.991578144491459,0.3809537082304775,9.291130897105893,6470000000.0,11680000000.0,7690000000.0,,,0
00105271,1,1,002380,케이씨씨,2109009999999.0,1152580000000.0,418760000000.0,795300000000.0,512950000000.0,88010000000.0,956429999999.0,1912459999999.0,320420000000.0,2002-12-02,1372556242000.0,122000.0,122000.0,0.19855761708109423,1.1908555085113397,1.5504435130129641,-0.11739409655389553,15.595457811612317,0.7176914769462983,4.283616010236565,67740000000.0,75440000000.0,13030000000.0,,,0
00105280,1,1,005440,현대그린푸드,2819310000000.0,1011190000000.0,786010000000.0,805220000000.0,1407610000000.0,118859999999.0,1808120000000.0,3092010000000.0,328650000000.0,2002-12-02,97537985600.0,17600.0,17600.0,0.27879516619314654,0.0964586137125565,0.572047655245416,-10.282147963490441,0.8206123641327664,0.031545171458048325,0.29678376875095086,80130000000.0,46260000000.0,26389999999.0,,,0
00105299,1,1,014280,금강공업,130330000000.0,68900000000.0,30550000000.0,79050000000.0,29289999999.0,27989999999.0,61420000000.0,157780000000.0,14660000000.0,2002-12-02,34234546200.0,7050.0,7050.0,0.23440497199416865,0.49687294920174163,2.698873335701566,0.5149768861256294,1.2230991854670632,0.21697646216250474,2.3352350750341064,969999999.0,-1580000000.0,-63850000000.0,,,0
