기업코드,IFRS,CFS,종목코드,회사명,자산총계,자본총계,매출총이익,유동자산,유동부채,당기순이익,부채총계,날짜,시가총액,주가,주식수,GP/A,PBR,유동비율,NCAV,PER,2017-당기순이익,2016-당기순이익,2015-당기순이익,2014-당기순이익,2013-당기순이익
00444329,1,1,112040,위메이드,350825087723.0,275581246885.0,127080000000.0,177860000000.0,72970000000.0,-48530000000.0,75240000000.0,2019-12-02,509040000000.0,30300.0,30300.0,0.3622317914172039,1.847150362203065,2.4374400438536385,0.20159515951595158,-10.489181949309705,9800000000.0,-79150000000.0,-113050000000.0,222640000000.0,13550000000.0
00445054,1,1,067310,하나마이크론,604901999011.0,206250270373.0,90951288146.0,144440000000.0,327460000000.0,21650000000.0,398650000000.0,2019-12-02,139106078520.0,5030.0,5030.0,0.15035706328414047,0.6744528298965576,0.4410920417760948,-1.8274542903130644,6.425223026327944,-520000000.0,-26539999999.0,4330000000.0,8980000000.0,-13390000000.0
00445160,1,1,079810,디이엔티,60037161449.0,17686667813.0,-2366316521.0,23230000000.0,20640000000.0,-11330000000.0,42350000000.0,2019-12-02,31446784400.0,3100.0,3100.0,-0.03941419720534463,1.777993725696939,1.125484496124031,-0.6080112916091986,-2.7755326037069725,2770000000.0,-6270000000.0,3690000000.0,-2180000000.0,-1510000000.0
00445799,1,1,093920,서원인텍,192294125078.0,153196546997.0,21145705176.0,135040000000.0,35630000000.0,4960000000.0,39100000000.0,2019-12-02,126852000000.0,6820.0,6820.0,0.10996542493132692,0.8280343290145051,3.7900645523435306,0.75631444518021,25.575,5780000000.0,16860000000.0,16830000000.0,37570000000.0,27360000000.0
00445841,1,1,086960,한컴MDS,164467252417.0,120119454248.0,53742751520.0,121859999999.0,38270000000.0,4980000000.0,44350000000.0,2019-12-02,95790396800.0,10850.0,10850.0,0.32676870763145877,0.7974594739852052,3.1842174026391428,0.8091625318228142,19.235019437751003,7750000000.0,7159999999.0,8870000000.0,9110000000.0,8750000000.0
00445869,1,1,121060,유니포인트,52729999999.0,8720000000.0,10200000000.0,44860000000.0,40970000000.0,1410000000.0,44010000000.0,2019-12-02,8583696450.0,1435.0,1435.0,0.19343827043795636,0.9843688589449542,1.0949475225774958,0.09902493697805448,6.087727978723405,1190000000.0,1350000000.0,720000000.0,780000000.0,610000000.0
00447487,1,1,080220,제주반도체,226049082603.0,95206914535.0,36348090838.0,161060000000.0,112690000000.0,9050000000.0,130840000000.0,2019-12-02,104079188390.0,3635.0,3635.0,0.16079733843395658,1.0931893854383694,1.4292306327092021,0.29035583835224793,11.500462805524862,7300000000.0,2840000000.0,-560000000.0,-3170000000.0,-8430000000.0
00447502,1,1,086040,바이오톡스텍,63135802743.0,35749342930.0,12058941421.0,15860000000.0,23870000000.0,3490000000.0,27389999999.0,2019-12-02,96278311800.0,6600.0,6600.0,0.19100004905436957,2.6931491297202426,0.6644323418516966,-0.11975698143680995,27.5869088252149,1480000000.0,830000000.0,-3900000000.0,-3890000000.0,400000000.0
00447575,1,1,204270,제이앤티씨,361120000000.0,204900000000.0,38430000000.0,129900000000.0,127459999999.0,28110000000.0,156220000000.0,2019-12-02,,,,0.10641891891891891,,1.019143260638782,,,18350000000.0,33870000000.0,16069999999.0,21540000000.0,3279999999.0
00447609,1,1,090460,비에이치,469756137718.0,187910519535.0,153362556689.0,242169999999.0,232069999999.0,83920000000.0,281850000000.0,2019-12-02,668746408000.0,20500.0,20500.0,0.3264727043993735,3.558855617316518,1.0435213513166006,-0.05933489814123981,7.96885614871306,31910000000.0,-16450000000.0,7680000000.0,15069999999.0,27630000000.0
