기업코드,IFRS,CFS,종목코드,회사명,자산총계,자본총계,매출총이익,유동자산,유동부채,당기순이익,부채총계,날짜,시가총액,주가,주식수,GP/A,PBR,유동비율,NCAV,PER,2010-당기순이익,2009-당기순이익,2008-당기순이익,2007-당기순이익,2006-당기순이익
00100717,1,1,023430,아이이,20610000000.0,17169999999.0,1560000000.0,14990000000.0,2340000000.0,-2780000000.0,3429999999.0,2012-12-03,22089797184.0,624.0,624.0,0.07569141193595343,1.2865344895332869,6.405982905982906,0.5233185214291192,-7.945970210071942,1510000000.0,-3790000000.0,-10310000000.0,-31620000000.0,-1980000000.0
00100939,1,1,000860,강남제비스코,395150000000.0,307260000000.0,46180000000.0,167940000000.0,58160000000.0,24880000000.0,87890000000.0,2012-12-03,132600000000.0,20400.0,20400.0,0.11686701252688853,0.4315563366529975,2.887551581843191,0.6036953242835595,5.329581993569132,21830000000.0,24720000000.0,8790000000.0,12530000000.0,12540000000.0
00101044,1,1,003060,에이프로젠제약,116330000000.0,73490000000.0,24770000000.0,64970000000.0,34070000000.0,-4560000000.0,42850000000.0,2012-12-03,81971054452.0,692.0,692.0,0.21292873721310066,1.1154041971968975,1.9069562665101263,0.26985135360132356,-17.97610843245614,-700000000.0,-8100000000.0,-5490000000.0,-10500000000.0,-2730000000.0
00101220,1,1,001390,KG케미칼,854040000000.0,279880000000.0,110059999999.0,448150000000.0,398380000000.0,12320000000.0,574160000000.0,2012-12-03,117700000000.0,11000.0,11000.0,0.12886984216078873,0.4205373731599257,1.1249309704302424,-1.0706032285471538,9.553571428571429,5070000000.0,8490000000.0,5900000000.0,-3700000000.0,11300000000.0
00101257,1,1,000800,경남기업,2451310000000.0,413310000000.0,31480000000.0,1001160000000.0,1251400000000.0,78900000000.0,2038000000000.0,2012-12-03,90235860880.0,5710.0,5710.0,0.012842112992644749,0.21832489143741984,0.8000319642000959,-11.490332002027884,1.1436737754119137,20410000000.0,22650000000.0,13160000000.0,36750000000.0,33110000000.0
00101433,1,1,002100,경농,173770000000.0,142990000000.0,42030000000.0,94360000000.0,24870000000.0,509999999.0,30789999999.0,2012-12-03,69738976250.0,3215.0,3215.0,0.24187143925879034,0.487719254842996,3.794129473260957,0.9115419155726422,136.7430909543982,9300000000.0,16780000000.0,11570000000.0,15010000000.0,13290000000.0
00101488,1,1,009450,경동나비엔,263210000000.0,168110000000.0,89710000000.0,129509999999.0,81660000000.0,9470000000.0,95100000000.0,2012-12-03,143956463000.0,11300.0,11300.0,0.34083051555791954,0.8563230206412468,1.585966201310311,0.23903060190496622,15.201316050686378,7680000000.0,3700000000.0,7740000000.0,7650000000.0,5990000000.0
00101549,1,1,011040,경동제약,185720000000.0,150620000000.0,78120000000.0,99010000000.0,29960000000.0,20290000000.0,35100000000.0,2012-12-03,188505000000.0,14200.0,14200.0,0.4206332112858066,1.251527021643872,3.304739652870494,0.3390360998382006,9.290537210448496,19980000000.0,13480000000.0,11430000000.0,16330000000.0,18250000000.0
00101628,1,1,000050,경방,1352320000000.0,629700000000.0,89320000000.0,137250000000.0,406690000000.0,-1130000000.0,722620000000.0,2012-12-03,216320000000.0,104000.0,104000.0,0.06604945575011832,0.34352866444338576,0.3374806363569303,-2.706037352071006,-191.43362831858408,22220000000.0,6480000000.0,-14930000000.0,60490000000.0,-21700000000.0
00101752,1,1,025880,케이씨피드,81240000000.0,46770000000.0,11010000000.0,51910000000.0,27739999999.0,1910000000.0,34480000000.0,2012-12-03,25384059560.0,2120.0,2120.0,0.13552437223042835,0.5427423468035065,1.87130497483314,0.6866513986386187,13.290083539267016,3030000000.0,4590000000.0,1639999999.0,1970000000.0,3190000000.0
