start_date,end_date,filepath,stocks,yield,yields,total,cagr,win_rate,best_corp,worst_corp,best_stock_code,worst_stock_code
2002-08-01,2003-08-01,data/daily/8-1/2002-08-01.csv,"['010600', '008900', '005610', '025880', '003230', '014570', '004090', '027040', '005320', '012790', '007370', '000890', '030960', '003960', '000850', '009780', '028090', '008290', '002700', '009070', '002290', '001550', '024940', '003310', '007770', '014470', '008040', '038010', '004780', '045060']",1.3633648882726301,"[1.40692556879356, 0.9943436038835991, 0.6278816014206399, 2.2677990950588454, 1.0279018779319042, 0.7369857908000684, 0.8405310697804292, 0.9428462346748128, 1.102207003976925, 1.128465163214901, 0.8882973498536653, 0.9861634294789552, 0.6521246314050507, 0.4842318149864568, 1.6108120911344423, 3.1772462636639567, 1.326079446659533, 2.467803815876138, 0.6998010457500567, 4.400306570804876, 0.7665747757717845, 0.897000856335, 1.8833321038670756, 0.3949575956096106, 1.5509796630174857, 3.2448818730846667, 0.7074400633898656, 1.602096166242666, 1.116515222585041, 0.9684148591268905]",1.3633648882726301,1.3633648882726301,0.5,4.400306570804876,0.3949575956096106,009070,003310
2003-08-01,2004-08-02,data/daily/8-1/2003-08-01.csv,"['010600', '009460', '003680', '014100', '025880', '004090', '004540', '008290', '004780', '038010', '005320', '032860', '003310', '016920', '060380', '007110', '002290', '000850', '015230', '009780', '017650', '004100', '002360', '032750', '006090', '016100', '028090', '000890', '018680', '035890']",1.3449629008413793,"[1.8259167305236912, 1.4342684608050016, 0.3965034132307679, 2.080025430085564, 2.0149332441611043, 1.444969939587132, 1.0871044045744183, 1.745453922235526, 1.2059954904580579, 3.7667371682982003, 1.6206279796385323, 0.42775500308124637, 1.1374874379885063, 0.6774775648558482, 0.8546930383964354, 0.840260986643604, 0.7882765889316721, 1.6201163714238074, 0.6725915870181358, 1.8400385101691183, 1.2815485148349588, 3.5123360577895255, 0.4054131863900447, 3.3851181297963664, 0.3831701109785286, 0.19880159675643902, 1.17895725461748, 0.6949490566571597, 1.2365825574734137, 0.5907772878410913]",1.8336751950364396,1.3541326356884098,0.6,3.7667371682982003,0.19880159675643902,038010,016100
2004-08-02,2005-08-01,data/daily/8-1/2004-08-02.csv,"['010600', '017680', '005320', '032860', '016920', '004090', '000440', '009460', '032940', '011390', '014470', '025880', '004780', '014100', '060280', '024890', '038010', '054670', '003310', '050050', '045060', '009780', '048770', '029480', '018680', '051170', '030790', '008290', '014200', '011080']",1.4293529246009125,"[1.4204010598821595, 0.8628400758822471, 0.8205488556424755, 1.0156558998688778, 0.6648035181085434, 0.9033730127664173, 1.9337882064836267, 1.762790415441451, 0.761206625702872, 1.274554443699302, 2.8502532020130795, 1.3192752901913969, 0.9831335712692975, 1.5807178435254572, 0.6348857525452435, 0.7988290375608611, 3.87505327609561, 1.2462725301202138, 1.273697468956749, 1.2365334709047817, 0.57632064711367, 2.813724650524418, 2.18893860757048, 0.4385182497609224, 1.0928937387879367, 0.5779702246841533, 1.515711396515837, 2.3370138026162515, 2.8583289892138377, 1.262553874579206]",2.6209690027934833,1.3787556175140063,0.6333333333333333,3.87505327609561,0.4385182497609224,038010,029480
2005-08-01,2006-08-01,data/daily/8-1/2005-08-01.csv,"['010600', '017680', '007980', '046310', '005320', '014470', '000440', '045060', '014200', '016920', '038010', '004590', '079650', '025880', '014570', '009470', '004780', '048770', '009460', '024940', '049480', '018310', '009780', '024890', '049800', '004090', '008290', '032750', '005670', '000910']",1.3024786395157006,"[1.6041948879659467, 1.2813856390336908, 0.8484889999499801, 0.9094615101586215, 0.9658890391454059, 1.2482864458465548, 1.3187476151284525, 0.6159352430984076, 0.7845913617264456, 0.8078763513038266, 0.9233820931995939, 1.4599809430405872, 1.0726166780361936, 3.0724124601788056, 1.0634761896316323, 1.2353461962266747, 0.6119221562085826, 0.4982946366650839, 0.7528450251056741, 0.9683427176115482, 0.7189475422297668, 0.7355270717023618, 1.4301152147422047, 1.5365262692327117, 0.9707657377256165, 0.9885856889472979, 0.31880179266381287, 3.676704168332787, 1.4213570056270879, 5.233552505005662]",3.413756140971279,1.3592774858494185,0.4666666666666667,5.233552505005662,0.31880179266381287,000910,008290
2006-08-01,2007-08-01,data/daily/8-1/2006-08-01.csv,"['068290', '007980', '025880', '000440', '008110', '016920', '045060', '024890', '004090', '009470', '046940', '024940', '012620', '048770', '004590', '014200', '018680', '038010', '058220', '054220', '032750', '033320', '014570', '021050', '052270', '008290', '018310', '023910', '026150', '033230']",1.0806775922031728,"[3.360985978482986, 1.1553838475985843, 1.5209562715702396, 0.972288648408009, 0.7327414856940553, 0.8356671327029491, 0.7637397287865532, 1.1285728509763164, 1.378807716100335, 1.2439136632154917, 0.7660211484827156, 0.5160025658495068, 0.8184967715312018, 0.39735237011604396, 1.2152742978302928, 0.9636137601317625, 0.793341876727143, 1.4097509549379303, 1.0353012565456652, 0.8534755588688473, 1.486335967384094, 0.5580356944960112, 0.9334244587159246, 1.3129588094950018, 1.4121570308056457, 1.3821354488380322, 1.0749152857927036, 0.8605296972667895, 0.9985353849045655, 0.5396121038397872]",3.6891697667936367,1.2983319010167562,0.4666666666666667,3.360985978482986,0.39735237011604396,068290,048770
2007-08-01,2008-08-01,data/daily/8-1/2007-08-01.csv,"['017680', '006060', '010600', '045060', '079650', '025880', '045660', '009470', '045510', '012790', '046310', '024950', '036690', '000440', '009780', '038320', '008110', '046940', '014570', '048770', '024940', '002140', '008500', '078520', '008290', '041830', '049480', '061040', '067770', '043340']",0.8825830664564375,"[1.236051570150509, 0.7454978591287805, 0.7139684678257189, 0.742778303099452, 0.5948914761050991, 2.68854915300617, 1.1949565714813022, 1.1100283256105696, 0.7101387307281339, 0.8281517451263484, 0.7453724414884672, 0.5824575545406943, 0.7047128627965146, 0.4411557064535465, 1.8166033629491352, 0.3351964073452747, 1.3131064812286397, 0.2612405488414233, 0.7284056786562643, 0.6698570881373547, 0.9509962925747852, 0.7529739359127566, 1.574509157930364, 0.5913359048087008, 0.504480057487628, 0.7618326391706053, 0.787921188312855, 0.9609139179753815, 0.9562686239200893, 0.4731399409005606]",3.255998765455108,1.2174394538370168,0.23333333333333334,2.68854915300617,0.2612405488414233,025880,046940
2008-08-01,2009-08-03,data/daily/8-1/2008-08-01.csv,"['038320', '011080', '005320', '006060', '078520', '014570', '046310', '079650', '005360', '016920', '038680', '045060', '017680', '071950', '045510', '036200', '043360', '048770', '009780', '083450', '079190', '042510', '069410', '045660', '019180', '024940', '058220', '061040', '026040', '002140']",0.898425062284345,"[0.613216723892508, 1.0993960314994573, 0.8643470575860844, 1.4206397650770861, 0.7186519115979947, 0.44717658103882996, 0.923683733831909, 0.404457469099019, 1.7467527490775854, 0.8491001112697169, 0.5654116132679412, 1.121066791563911, 0.9062668811538457, 0.6901287120582211, 0.7983483789132688, 0.7971526198536881, 0.4314056487969762, 0.8154283284580989, 2.7063969585362075, 0.3974428869418808, 0.8695504984361622, 0.5133703637889088, 0.8781085084042434, 1.4065900535643698, 0.9267943720757377, 0.7285598225361111, 0.6336728723763504, 0.7137233696173229, 0.8050342999172098, 1.1608767542997067]",2.925270893651756,1.165722437443708,0.23333333333333334,2.7063969585362075,0.3974428869418808,009780,083450
2009-08-03,2010-08-02,data/daily/8-1/2009-08-03.csv,"['011080', '017680', '010470', '079650', '007980', '088790', '014570', '019180', '038320', '038680', '000440', '024940', '025880', '045510', '036200', '048770', '046310', '071950', '071280', '083550', '009780', '070590', '011300', '012620', '090470', '047440', '045060', '093640', '058220', '003310']",0.9944360456767812,"[0.820813292382927, 1.3566292160381686, 1.9219849204113175, 1.3926709610712535, 1.463407834124681, 0.9071025289329195, 1.1230626597360676, 0.45665514113984845, 0.22270006635447567, 0.6248113213985726, 1.105449476812271, 1.3999831514853138, 1.115582663357211, 0.46167290789354215, 0.5446227756480506, 1.000777209544826, 0.5975511813553538, 1.524991851846992, 1.191857040926802, 0.596842603426992, 1.9601442728702165, 0.6075865368005736, 1.2511352991221325, 1.0280720104523928, 0.4115821653519651, 1.2132930914011106, 0.49986877562835585, 0.8973042229343482, 1.1101941822078436, 1.024732009646911]",2.9089948200164364,1.142793781447954,0.5666666666666667,1.9601442728702165,0.22270006635447567,009780,038320
2010-08-02,2011-08-01,data/daily/8-1/2010-08-02.csv,"['011080', '033340', '032860', '088790', '011090', '079650', '012790', '005360', '071950', '039830', '017680', '004740', '038680', '008290', '002140', '014100', '024940', '045060', '038320', '091440', '066620', '019180', '005190', '014570', '070590', '009780', '064240', '010470', '067010', '015260']",0.9327757095763728,"[0.8235911909652119, 1.1429277119011811, 1.3420561535591886, 1.9351318786115121, 1.5687973425289476, 1.263455010894841, 0.6877245216719267, 0.7572328646302557, 0.40316274429555493, 0.860065136318743, 0.5483710290377829, 1.0244535782397457, 0.5043540697221354, 1.2288379374298293, 0.6907361727931854, 1.4168966603791413, 0.6146657299907838, 0.4627820104658963, 1.2268129191779198, 0.8710504027253063, 0.8921401905478776, 1.2293996225810955, 0.7443159046236144, 0.593057960901062, 1.1744636903236965, 0.6780891834040379, 0.6388629252233358, 1.0079840672495937, 0.8764684658128995, 0.7753842112848812]",2.713439707394824,1.117297709492289,0.4,1.9351318786115121,0.40316274429555493,088790,071950
2011-08-01,2012-08-01,data/daily/8-1/2011-08-01.csv,"['011080', '038320', '033340', '044380', '091440', '011090', '005360', '046310', '002140', '024940', '093240', '016920', '012790', '049480', '057880', '031860', '071950', '004590', '079650', '073190', '003350', '010470', '045060', '019180', '070590', '015260', '067010', '123410', '005190', '032750']",0.7586848920068155,"[1.7544104763788098, 0.8880359616517033, 0.2921808289105364, 1.0624753453781086, 0.41704308814809304, 1.1167401534328887, 0.7738791096988946, 0.6296276004306054, 0.5826114627514828, 0.39638664164504694, 0.9237787522029688, 0.5768556462272999, 0.6999127851602928, 1.0291208557464917, 0.7513184960021552, 0.7687332662552755, 0.4985130331673657, 0.6138945343784372, 0.4489575492130233, 1.0721978466466375, 1.618404129450525, 0.9575050952679155, 0.5246004285907971, 0.7103262836022955, 0.7735591094342189, 0.43182440432808933, 0.4208149947539331, 1.0019475450811246, 0.5827773598322535, 0.4421139764371971]",2.0586457113718475,1.0748754930938298,0.23333333333333334,1.7544104763788098,0.2921808289105364,011080,033340
