기업코드,IFRS,CFS,종목코드,회사명,자산총계,자본총계,매출총이익,유동자산,유동부채,당기순이익,부채총계,날짜,시가총액,주가,주식수,GP/A,PBR,유동비율,NCAV,PER,2013-당기순이익,2012-당기순이익,2011-당기순이익,2010-당기순이익,2009-당기순이익
00100601,1,1,114190,강원,67037638566.0,50445491366.0,10915272389.0,0.0,0.0,0.0,0.0,2015-08-03,50563794450.0,3315.0,3315.0,0.16282304422542687,1.0023451666501109,,0.0,inf,3920000000.0,8970000000.0,919999999.0,1720000000.0,2590000000.0
00100717,1,1,023430,아이이,78500000000.0,41570000000.0,2580000000.0,32900000000.0,36260000000.0,-3500000000.0,36930000000.0,2015-08-03,59738613440.0,440.0,440.0,0.03286624203821656,1.4370607033918692,0.9073359073359073,-0.06746055470550272,-17.06817526857143,-3100000000.0,-21930000000.0,-2370000000.0,1510000000.0,-3790000000.0
00100939,1,1,000860,강남제비스코,490785440147.0,399739719387.0,55079919331.0,244190000000.0,59579999999.0,41690000000.0,96500000000.0,2015-08-03,334750000000.0,51500.0,51500.0,0.11222810382170764,0.8374199104190557,4.0985229943621775,0.4411949215832711,8.029503478052291,23050000000.0,21930000000.0,17040000000.0,21830000000.0,24720000000.0
00101044,1,1,003060,에이프로젠제약,84828017989.0,62113229535.0,10856391183.0,48580000000.0,10400000000.0,-4400000000.0,22710000000.0,2015-08-03,,,,0.12798119584036247,,4.671153846153846,,,-14900000000.0,-25260000000.0,-4670000000.0,-700000000.0,-8100000000.0
00101220,1,1,001390,KG케미칼,928917993550.0,433166113228.0,211702768050.0,555360000000.0,440389999999.0,40660000000.0,495750000000.0,2015-08-03,240144756300.0,21150.0,21150.0,0.22790253770512722,0.5543941434162882,1.261064056861557,0.24822528261051185,5.906167149532711,-8630000000.0,-12540000000.0,-6530000000.0,5070000000.0,8490000000.0
00101257,1,1,000800,경남기업,2154500000000.0,-191940000000.0,-200370000000.0,715670000000.0,812820000000.0,-408450000000.0,2346440000000.0,2015-08-03,,,,-0.09300069621721978,,0.8804778425727713,,,-339560000000.0,-23160000000.0,19010000000.0,20410000000.0,22650000000.0
00101433,1,1,002100,경농,284623062641.0,168915899878.0,65703308374.0,139650000000.0,90430000000.0,7100000000.0,115709999999.0,2015-08-03,116267780000.0,5360.0,5360.0,0.2308432344320345,0.6883175597085576,1.5442883998673007,0.2059039916389562,16.375743661971832,13750000000.0,6590000000.0,3150000000.0,9300000000.0,16780000000.0
00101488,1,1,009450,경동나비엔,401658956830.0,190021879743.0,115144756388.0,159950000000.0,186320000000.0,9380000000.0,211640000000.0,2015-08-03,435691242000.0,34200.0,34200.0,0.2866729458661976,2.292847763579972,0.8584693001288106,-0.11863906137456855,46.44895970149254,9250000000.0,9210000000.0,9450000000.0,7680000000.0,3700000000.0
00101549,1,1,011040,경동제약,227679293781.0,190430469701.0,90668957392.0,102740000000.0,32000000000.0,24320000000.0,37250000000.0,2015-08-03,298023750000.0,22450.0,22450.0,0.39823101998556176,1.5650003409009865,3.210625,0.21974758723088345,12.25426603618421,18740000000.0,7959999999.0,20240000000.0,19980000000.0,13480000000.0
00101628,1,1,000050,경방,1301841378870.0,647668813634.0,90678216961.0,101230000000.0,409410000000.0,11490000000.0,654170000000.0,2015-08-03,684010986500.0,249500.0,249500.0,0.06965381376931559,1.0561122785302692,0.24725824967636353,-0.8083788285760232,59.53098228894691,15100000000.0,-7070000000.0,-1820000000.0,22220000000.0,6480000000.0
