기업코드,IFRS,CFS,종목코드,회사명,자산총계,자본총계,매출총이익,유동자산,유동부채,당기순이익,부채총계,매출액(수익),영업활동으로인한현금흐름,날짜,시가총액,주가,주식수,GP/A,PBR,유동비율,NCAV,PER,2014-당기순이익,2013-당기순이익,2012-당기순이익,2011-당기순이익,2010-당기순이익,증자
00367604,1,1,063440,SM Life Design,23230000000.0,13310000000.0,2290000000.0,6730000000.0,8370000000.0,-7490000000.0,9920000000.0,11140000000.0,1080000000.0,2016-08-01,87725033750.0,2290.0,2290.0,0.09857942315970727,6.590911626596544,0.8040621266427718,-0.036363622373642004,-11.712287550066756,-6360000000.0,-8020000000.0,-4780000000.0,390000000.0,-8760000000.0,1
00367695,1,1,060900,케이알피앤이,19327637071.0,14538851039.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-08-01,,,,0.0,,,,,-48620000000.0,-11580000000.0,1310000000.0,950000000.0,-1050000000.0,1
00369107,1,1,082850,우리바이오,910179999999.0,235730000000.0,93130000000.0,612880000000.0,613050000000.0,-21380000000.0,674450000000.0,1764600000000.0,-11530000000.0,2016-08-01,84770000535.0,2045.0,2045.0,0.10232042013678867,0.3596063315445637,0.9997226979854824,-0.7263182683899932,-3.9649205114593076,-27839999999.0,-13580000000.0,-23780000000.0,-10000000000.0,8350000000.0,0
00369170,1,1,051370,인터플렉스,479320000000.0,250330000000.0,-57140000000.0,265910000000.0,214260000000.0,-82680000000.0,228990000000.0,529450000000.0,3470000000.0,2016-08-01,271100121600.0,16550.0,16550.0,-0.11921054827672536,1.0829709647265608,1.2410622608046298,0.13618584817337095,-3.278908098693759,-58779999999.0,-740000000.0,54440000000.0,31080000000.0,31660000000.0,0
00369833,1,1,047400,유니온머티리얼,145700000000.0,94910000000.0,20900000000.0,57510000000.0,27680000000.0,5080000000.0,50790000000.0,106580000000.0,9310000000.0,2016-08-01,127260000000.0,3030.0,3030.0,0.14344543582704186,1.3408492255821305,2.0776734104046244,0.052805280528052806,25.051181102362204,3579999999.0,5380000000.0,3810000000.0,6320000000.0,6290000000.0,0
00370006,1,1,052220,iMBC,68370000000.0,52360000000.0,64470000000.0,42820000000.0,15050000000.0,930000000.0,16010000000.0,64470000000.0,-5850000000.0,2016-08-01,103960000000.0,4520.0,4520.0,0.9429574374725757,1.9854851031321619,2.8451827242524916,0.2578876490958061,111.78494623655914,2110000000.0,3329999999.0,3260000000.0,4710000000.0,3440000000.0,0
00370200,1,1,066430,와이오엠,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-08-01,,,,,,,,,430000000.0,509999999.0,-14000000000.0,-18310000000.0,-7059999999.0,1
00370255,1,1,064520,바른전자,122404388243.0,57013807233.0,19435358063.0,75330000000.0,49000000000.0,4300000000.0,65390000000.0,225460000000.0,9470000000.0,2016-08-01,154459672620.0,2530.0,2530.0,0.1587799125666678,2.709162571598931,1.53734693877551,0.06435336700767377,35.92085409767442,1150000000.0,2570000000.0,-7340000000.0,-31500000000.0,1069999999.0,0
00370918,1,1,221980,케이디켐,65131967656.0,58271091709.0,12481003886.0,48520000000.0,5220000000.0,6320000000.0,6859999999.0,45920000000.0,10460000000.0,2016-08-01,74643800000.0,18500.0,18500.0,0.1916263907751026,1.2809747991811045,9.295019157088122,0.5581173520238787,11.810727848101266,4640000000.0,3360000000.0,7650000000.0,1930000000.0,2650000000.0,0
00371485,1,1,089010,켐트로닉스,234890000000.0,79150000000.0,21470000000.0,109780000000.0,106459999999.0,-9110000000.0,155740000000.0,265619999999.0,-1710000000.0,2016-08-01,58926932380.0,5780.0,5780.0,0.09140448720677764,0.7444969346809854,1.0311854217643357,-0.7799489663507239,-6.46837896597146,-6650000000.0,25360000000.0,16390000000.0,7520000000.0,6620000000.0,0
00372226,1,1,131290,티에스이,193013789831.0,154806102356.0,20540021847.0,98890000000.0,32460000000.0,2380000000.0,38210000000.0,132220000000.0,3360000000.0,2016-08-01,101986375380.0,9220.0,9220.0,0.1064173801518769,0.6588007438199492,3.0465187923598274,0.5949814352545333,42.85141822689076,5050000000.0,-890000000.0,2830000000.0,13060000000.0,8430000000.0,0
00372688,1,1,057680,옴니텔,25219133072.0,11057588995.0,3602512090.0,0.0,0.0,0.0,0.0,0.0,-2770000000.0,2016-08-01,62868736700.0,3850.0,3850.0,0.1428483715009123,5.6855736570085815,,0.0,inf,1030000000.0,-5880000000.0,-3279999999.0,-1750000000.0,-360000000.0,0
00372882,1,1,058850,KTcs,346998299659.0,152631557517.0,1065850000000.0,284280000000.0,190330000000.0,13530000000.0,194370000000.0,1065850000000.0,20950000000.0,2016-08-01,113328675000.0,2655.0,2655.0,3.0716288841974886,0.742498319768358,1.4936163505490463,0.793356138682465,8.376103104212861,11200000000.0,12540000000.0,17680000000.0,19360000000.0,16719999999.0,0
