기업코드,IFRS,CFS,종목코드,회사명,자산총계,자본총계,매출총이익,유동자산,유동부채,당기순이익,부채총계,매출액(수익),영업활동으로인한현금흐름,영업이익,주당배당금,EBITDA,날짜,시가총액,주가,주식수,GP/A,PBR,유동비율,NCAV,PER,PSR,PCR,1998-당기순이익,1997-당기순이익,1996-당기순이익,1995-당기순이익,1994-당기순이익,증자
00100939,1,1,000860,강남제비스코,291350000000.0,146860000000.0,31489999999.0,94450000000.0,69540000000.0,9360000000.0,144490000000.0,191260000000.0,31610000000.0,10170000000.0,11300000000.0,35920000000.0,2000-08-01,20138210400.0,20300.0,20300.0,0.10808306160631542,0.13712522402287894,1.3582111015243026,-2.4848285426593817,2.151518205128205,0.10529232667572937,0.6370835305283138,19240000000.0,,,,,0
00101488,1,1,009450,경동나비엔,138440000000.0,66660000000.0,33689999999.0,94010000000.0,50110000000.0,6730000000.0,71780000000.0,135270000000.0,9840000000.0,4760000000.0,10000000000.0,13960000000.0,2000-08-01,21542400000.0,8720.0,8720.0,0.24335452180728112,0.3231683168316832,1.8760726401915786,1.031918449197861,3.2009509658246658,0.15925482368596142,2.189268292682927,1830000000.0,,,,,0
00101628,1,1,000050,경방,283600000000.0,36930000000.0,67770000000.0,125190000000.0,210890000000.0,3740000000.0,246680000000.0,393140000000.0,42190000000.0,19010000000.0,9000000000.0,36800000000.0,2000-08-01,34996245900.0,22900.0,22900.0,0.2389633286318759,0.9476373111291633,0.5936270093413628,-3.4715152118644816,9.357285,0.08901726077224398,0.8294914885043849,4510000000.0,,,,,0
00102858,1,1,010130,고려아연,1607310000000.0,562230000000.0,80700000000.0,448520000000.0,467770000000.0,56470000000.0,1045070000000.0,1182970000000.0,172400000000.0,44590000000.0,50000000000.0,164520000000.0,2000-08-01,233044500000.0,12300.0,12300.0,0.0502081116897176,0.414500293474201,0.958847296748402,-2.5598115381397113,4.126872675757039,0.196999501255315,1.351766241299304,59300000000.0,,,,,0
00103006,1,1,002240,고려제강,489980000000.0,329600000000.0,81200000000.0,158240000000.0,95370000000.0,32010000000.0,160380000000.0,361920000000.0,16090000000.0,26589999999.0,8300000000.0,55479999999.0,2000-08-01,119070000000.0,108500.0,108500.0,0.16572104983876892,0.36125606796116505,1.659221977561078,-0.01797262114722432,3.719775070290534,0.32899535809018565,7.40024860161591,35890000000.0,,,,,0
00104388,1,1,007690,국도화학,173240000000.0,101630000000.0,24230000000.0,109590000000.0,0.0,8660000000.0,71610000000.0,157230000000.0,21610000000.0,13060000000.0,50000000000.0,21720000000.0,2000-08-01,174899541600.0,29650.0,29650.0,0.13986377280073886,1.7209440283380892,inf,0.21715322780468627,20.196251916859122,1.1123802175157413,8.093454030541416,6060000000.0,,,,,0
00104999,1,1,008600,윌비스,343280000000.0,173850000000.0,40340000000.0,142320000000.0,95630000000.0,13290000000.0,169430000000.0,168510000000.0,3300000000.0,11400000000.0,1400000000.0,29910000000.0,2000-08-01,136568585200.0,10600.0,10600.0,0.11751340013982754,0.7855541282714984,1.4882359092335042,-0.1985083169771316,10.276041023325808,0.8104479567978161,41.384419757575756,7690000000.0,,,,,0
00105271,1,1,002380,케이씨씨,856810000000.0,367710000000.0,240480000000.0,388150000000.0,263919999999.0,83050000000.0,489100000000.0,908800000000.0,197780000000.0,140360000000.0,125000000000.0,195520000000.0,2000-08-01,469144223700.0,41700.0,41700.0,0.2806689931256638,1.275853862282777,1.4707108214666214,-0.21517903216166145,5.648937070439494,0.5162238376980633,2.372050883304682,13030000000.0,,,,,0
00105280,1,1,005440,현대그린푸드,1936850000000.0,629720000000.0,496510000000.0,522070000000.0,979860000000.0,47300000000.0,1307130000000.0,2123620000000.0,75980000000.0,117090000000.0,6000000000.0,175730000000.0,2000-08-01,182224480000.0,6690.0,6690.0,0.2563492268373906,0.2893738169345106,0.5328006041679424,-4.30820271787852,3.85252600422833,0.08580842146900104,2.398321663595683,26389999999.0,,,,,0
00105299,1,1,014280,금강공업,145410000000.0,12980000000.0,23130000000.0,81260000000.0,52310000000.0,-1310000000.0,132430000000.0,136159999999.0,4490000000.0,7130000000.0,0.0,9990000000.0,2000-08-01,4146973125.0,860.0,860.0,0.15906746441097586,0.31948945493066255,1.5534314662588415,-12.339120234833931,-3.1656283396946563,0.030456618133302412,0.9236020322939866,-63850000000.0,,,,,0
00105873,1,1,034220,LG디스플레이,3253050000000.0,1829159999999.0,923970000000.0,945160000000.0,692240000000.0,618050000000.0,1423890000000.0,2288330000000.0,981820000000.0,844190000000.0,116500000000.0,1200670000000.0,2000-08-01,,,,0.28403190851662286,,1.3653646134288686,,,,,450000000.0,,,,,0
00105952,1,1,006260,LS,1260780000000.0,480670000000.0,257819999999.0,453789999999.0,613700000000.0,95160000000.0,780110000000.0,1846040000000.0,210540000000.0,104590000000.0,60000000000.0,248700000000.0,2000-08-01,484610000000.0,14600.0,14600.0,0.20449245704960423,1.0081968918384754,0.7394329476926838,-0.6733662120075937,5.092580916351408,0.26251327165175187,2.301747886387385,20680000000.0,,,,,0
