기업코드,IFRS,CFS,종목코드,회사명,자산총계,자본총계,매출총이익,유동자산,유동부채,당기순이익,부채총계,매출액(수익),영업활동으로인한현금흐름,날짜,시가총액,주가,주식수,GP/A,PBR,유동비율,NCAV,PER,2003-당기순이익,2002-당기순이익,2001-당기순이익,2000-당기순이익,1999-당기순이익,증자
00100717,1,1,023430,아이이,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5150000000.0,2005-08-01,41773181955.0,1335.0,1335.0,,inf,,0.0,inf,-7359999999.0,-75100000000.0,-4460000000.0,-8600000000.0,-1470000000.0,0
00100939,1,1,000860,강남제비스코,289870000000.0,208800000000.0,42360000000.0,97360000000.0,67770000000.0,20320000000.0,81080000000.0,278890000000.0,8930000000.0,2005-08-01,73125000000.0,11250.0,11250.0,0.14613447407458516,0.35021551724137934,1.4366238748708868,0.22263247863247862,3.59867125984252,17520000000.0,17520000000.0,1700000000.0,4780000000.0,8910000000.0,0
00101220,1,1,001390,KG케미칼,153710000000.0,74740000000.0,39820000000.0,94290000000.0,50300000000.0,6480000000.0,78970000000.0,203280000000.0,7640000000.0,2005-08-01,71583000000.0,6690.0,6690.0,0.2590592674516948,0.9577602354830078,1.8745526838966202,0.21401729460905522,11.04675925925926,18790000000.0,-8660000000.0,-2890000000.0,16900000000.0,-14450000000.0,0
00101257,1,1,000800,경남기업,689530000000.0,264350000000.0,90390000000.0,543120000000.0,311070000000.0,26770000000.0,425180000000.0,0.0,0.0,2005-08-01,136307372480.0,9910.0,9910.0,0.13108929270662625,0.5156322015509741,1.7459735750795642,0.8652503371914458,5.0917957594322,13160000000.0,19180000000.0,20040000000.0,7240000000.0,-138010000000.0,0
00101433,1,1,002100,경농,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21400000000.0,2005-08-01,47504932500.0,4380.0,4380.0,,inf,,0.0,inf,500000000.0,6060000000.0,5940000000.0,4480000000.0,3040000000.0,0
00101488,1,1,009450,경동나비엔,158830000000.0,109850000000.0,36760000000.0,111309999999.0,39900000000.0,5480000000.0,48980000000.0,183630000000.0,-3460000000.0,2005-08-01,34329600000.0,14900.0,14900.0,0.23144242271611157,0.31251342740100135,2.78972431075188,1.8156343213728094,6.264525547445255,9320000000.0,17010000000.0,10890000000.0,6140000000.0,6680000000.0,0
00101628,1,1,000050,경방,529689999999.0,340230000000.0,31689999999.0,87830000000.0,159410000000.0,-9290000000.0,189460000000.0,210960000000.0,9260000000.0,2005-08-01,134160000000.0,64500.0,64500.0,0.059827446240366684,0.39432148840490255,0.5509691989210213,-0.7575283243887895,-14.441334768568353,190000000.0,3529999999.0,-310000000.0,2350000000.0,9240000000.0,0
00102113,1,1,012610,경인양행,112250000000.0,61140000000.0,16500000000.0,74340000000.0,39640000000.0,4300000000.0,51110000000.0,95830000000.0,0.0,2005-08-01,45600000000.0,15200.0,15200.0,0.14699331848552338,0.745829244357213,1.8753784056508578,0.5094298245614035,10.604651162790697,3010000000.0,4600000000.0,5760000000.0,2480000000.0,720000000.0,0
00102140,1,1,009140,경인전자,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1970000000.0,2005-08-01,13383190440.0,8520.0,8520.0,,inf,,0.0,inf,850000000.0,530000000.0,160000000.0,1540000000.0,1340000000.0,0
00102432,1,1,013580,계룡건설산업,482080000000.0,256230000000.0,110609999999.0,287280000000.0,130970000000.0,42760000000.0,225850000000.0,876029999999.0,7209999999.0,2005-08-01,236222490150.0,26450.0,26450.0,0.2294432459322104,0.921915818405339,2.193479422768573,0.2600514454021388,5.524380031571562,35430000000.0,31670000000.0,25550000000.0,15569999999.0,12890000000.0,0
00102618,1,1,012200,계양전기,123650000000.0,106400000000.0,17090000000.0,76710000000.0,13840000000.0,1080000000.0,17250000000.0,111270000000.0,4079999999.0,2005-08-01,50530000000.0,1550.0,1550.0,0.13821269712899312,0.474906015037594,5.542630057803469,1.1767266970116763,46.78703703703704,1120000000.0,11190000000.0,10550000000.0,8760000000.0,10700000000.0,0
00102645,1,1,012410,글로스텍,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4530000000.0,2005-08-01,9082500000.0,4325.0,4325.0,,inf,,0.0,inf,1630000000.0,-1810000000.0,-3629999999.0,3260000000.0,2030000000.0,0
00102760,1,1,011160,두산건설,1929809999999.0,498220000000.0,174810000000.0,1266790000000.0,893310000000.0,21450000000.0,1431590000000.0,1420510000000.0,89320000000.0,2005-08-01,667850477840.0,7280.0,7280.0,0.09058404713422077,1.3404730397013367,1.4180855470105562,-0.2467618208989017,31.13522041212121,-4830000000.0,-134240000000.0,51610000000.0,-330080000000.0,-28900000000.0,0
00102858,1,1,010130,고려아연,1828359999999.0,852829999999.0,178250000000.0,797100000000.0,577420000000.0,122690000000.0,975529999999.0,2184680000000.0,260010000000.0,2005-08-01,552891000000.0,29300.0,29300.0,0.09749174123263334,0.6483015372356136,1.3804509715631603,-0.32272183847991737,4.506406390088841,42410000000.0,78850000000.0,35980000000.0,8940000000.0,45520000000.0,0
00103006,1,1,002240,고려제강,905840000000.0,572550000000.0,118690000000.0,306250000000.0,225569999999.0,45730000000.0,333290000000.0,522610000000.0,48870000000.0,2005-08-01,252000000000.0,25200.0,25200.0,0.13102755453501722,0.44013623264343726,1.3576716762040948,-0.1073015873015873,5.5106057292805595,37800000000.0,27310000000.0,40800000000.0,16190000000.0,30010000000.0,1
00103042,1,1,009070,케이씨티시,187210000000.0,95770000000.0,29630000000.0,55700000000.0,49130000000.0,3840000000.0,91440000000.0,192470000000.0,7720000000.0,2005-08-01,19200000000.0,48000.0,48000.0,0.15827145985791358,0.20048031742716926,1.1337268471402402,-1.8614583333333334,5.0,2150000000.0,1220000000.0,1510000000.0,810000000.0,1870000000.0,0
