기업코드,IFRS,CFS,종목코드,회사명,자산총계,자본총계,매출총이익,유동자산,유동부채,당기순이익,부채총계,매출액(수익),영업활동으로인한현금흐름,영업이익,주당배당금,EBITDA,날짜,시가총액,주가,주식수,GP/A,ROE,PBR,유동비율,NCAV,PER,PSR,PCR,2008-매출액(수익),매출액(수익)-YoY,증자
00103042,1,1,009070,케이씨티시,197410000000.0,121500000000.0,34520000000.0,53500000000.0,30580000000.0,3190000000.0,75910000000.0,226930000000.0,8500000000.0,3960000000.0,2000000000.0,14140000000.0,2010-08-02,67050000000.0,22150.0,22150.0,0.17486449521300845,0.026255144032921812,0.5518518518518518,1.749509483322433,-0.33422818791946307,21.018808777429467,0.29546556206759794,7.8882352941176475,173200000000.0,0.3102193995381062,0
00103510,1,1,023800,인지컨트롤스,349730000000.0,147760000000.0,51479999999.0,167620000000.0,175140000000.0,9690000000.0,201970000000.0,509289999999.0,41440000000.0,10230000000.0,10000000000.0,49230000000.0,2010-08-02,67614170880.0,4300.0,4300.0,0.14719926800388872,0.0655793178126692,0.4575945511640498,0.9570629210916981,-0.5080295972417314,6.977726613003096,0.13276163066255525,1.6316160926640926,221519999999.0,1.2990700613998696,0
00103662,1,1,017040,광명전기,99660000000.0,59370000000.0,12010000000.0,52670000000.0,36720000000.0,1220000000.0,40290000000.0,84160000000.0,9170000000.0,4020000000.0,0.0,4720000000.0,2010-08-02,60422713675.0,1610.0,1610.0,0.12050973309251455,0.020549098871483915,1.0177314076974904,1.4343681917211328,0.2048898377287256,49.52681448770492,0.7179504951877377,6.58917270174482,51120000000.0,0.6463223787167449,0
00104388,1,1,007690,국도화학,379320000000.0,231130000000.0,54979999999.0,261569999999.0,0.0,22800000000.0,148190000000.0,499160000000.0,51260000000.0,24300000000.0,80000000000.0,46310000000.0,2010-08-02,181581750000.0,31050.0,31050.0,0.14494358325160814,0.09864578375805824,0.7856260546013066,inf,0.6244019566889294,7.964111842105263,0.3637746413975479,3.542367342957472,433230000000.0,0.15218244350575905,0
00104698,1,1,000680,LS네트웍스,1236360000000.0,871600000000.0,84410000000.0,220369999999.0,36090000000.0,7759999999.0,364770000000.0,222150000000.0,38070000000.0,15200000000.0,0.0,24400000000.0,2010-08-02,474942878880.0,6560.0,6560.0,0.0682729949205733,0.008903166589031666,0.5449092231298761,6.1061235799113325,-0.30403656191565803,61.20397924500051,2.1379377847400405,12.47551559968479,196540000000.0,0.13030426376310156,0
00104810,1,1,007720,대명소노시즌,102260000000.0,80150000000.0,13030000000.0,33260000000.0,12290000000.0,4020000000.0,22110000000.0,31210000000.0,3170000000.0,4650000000.0,0.0,5960000000.0,2010-08-02,48333044465.0,720.0,720.0,0.12742030119303735,0.05015595757953836,0.6030323701185277,2.7062652563059397,0.23069103391726517,12.023145389303483,1.548639681672541,15.247017181388012,4200000000.0,6.430952380952381,0
00104999,1,1,008600,윌비스,231110000000.0,155210000000.0,44700000000.0,146180000000.0,66929999999.0,1610000000.0,75900000000.0,247490000000.0,7150000000.0,8180000000.0,0.0,11390000000.0,2010-08-02,33828915600.0,2685.0,2685.0,0.19341439141534333,0.010373042974035178,0.21795577346820436,2.1840729120302416,2.0775126471981857,21.011748819875777,0.1366880100206069,4.731316867132867,126770000000.0,0.952275775025637,0
00105040,1,1,012340,뉴인텍,49420000000.0,19500000000.0,5000000000.0,26539999999.0,26489999999.0,-1040000000.0,29920000000.0,39440000000.0,-4870000000.0,869999999.0,0.0,2089999999.0,2010-08-02,93318318225.0,2655.0,2655.0,0.10117361392148927,-0.05333333333333334,4.785554780769231,1.0018875047188331,-0.03622011267766822,-89.72915213942308,2.3660831192951317,-19.161872325462014,28170000000.0,0.4000709975150869,0
00105101,1,1,015360,예스코홀딩스,1415820000000.0,569390000000.0,114530000000.0,749030000000.0,580700000000.0,15210000000.0,846429999999.0,1193680000000.0,95560000000.0,15680000000.0,125000000000.0,161150000000.0,2010-08-02,142200000000.0,23600.0,23600.0,0.08089305137658742,0.02671279790653155,0.2497409508421293,1.2898742896504218,-0.6849507735513362,9.349112426035504,0.11912740432946853,1.4880703223105902,913810000000.0,0.30626716713540003,0
00105271,1,1,002380,케이씨씨,8150860000000.0,4951890000000.0,880929999999.0,2801360000000.0,1114190000000.0,405530000000.0,3198970000000.0,3896030000000.0,702260000000.0,383830000000.0,800000000000.0,737020000000.0,2010-08-02,3208600000000.0,303000.0,303000.0,0.10807816598481633,0.08189398391321294,0.6479546193473603,2.5142569938699864,-0.12392008975877329,7.91211500998693,0.8235562867842393,4.568963062113747,2488130000000.0,0.5658466398459887,0
