기업코드,IFRS,CFS,종목코드,회사명,자산총계,자본총계,매출총이익,유동자산,유동부채,당기순이익,부채총계,매출액(수익),영업활동으로인한현금흐름,영업이익,주당배당금,EBITDA,날짜,시가총액,주가,주식수,GP/A,PBR,유동비율,NCAV,PER,PSR,PCR,2008-당기순이익,2007-당기순이익,2006-당기순이익,2005-당기순이익,2004-당기순이익,증자
00100939,1,1,000860,강남제비스코,361670000000.0,276480000000.0,50700000000.0,146420000000.0,65950000000.0,27260000000.0,85180000000.0,305530000000.0,26760000000.0,19870000000.0,40000000000.0,39670000000.0,2010-09-01,93925000000.0,14500.0,14500.0,0.14018303978765173,0.3397171585648148,2.220166793025019,0.6520095821133883,3.445524578136464,0.3074166202991523,3.509902840059791,8790000000.0,12530000000.0,12540000000.0,11710000000.0,18870000000.0,0
00101044,1,1,003060,에이프로젠제약,59070000000.0,25180000000.0,30360000000.0,33550000000.0,31739999999.0,-8270000000.0,33889999999.0,62229999999.0,-4990000000.0,3990000000.0,0.0,-5620000000.0,2010-09-01,33308085220.0,1475.0,1475.0,0.5139664804469274,1.3227992541699762,1.0570258349419352,-0.010207731749042282,-4.027579833131802,0.5352416072719788,-6.674966977955912,-5490000000.0,-10500000000.0,-2730000000.0,-5380000000.0,-4120000000.0,1
00101220,1,1,001390,KG케미칼,424850000000.0,194190000000.0,53520000000.0,175580000000.0,169770000000.0,8409999999.0,230660000000.0,373780000000.0,35150000000.0,17700000000.0,20000000000.0,28680000000.0,2010-09-01,112885000000.0,10800.0,10800.0,0.12597387313169353,0.5813121169988156,1.0342227719856276,-0.4879301944456748,13.422711059860013,0.3020092032746535,3.2115220483641536,5900000000.0,-3700000000.0,11300000000.0,9640000000.0,6459999999.0,0
00101257,1,1,000800,경남기업,2367730000000.0,495310000000.0,115559999999.0,1489150000000.0,1046879999999.0,22310000000.0,1872420000000.0,0.0,0.0,64750000000.0,0.0,0.0,2010-09-01,119754759980.0,7740.0,7740.0,0.04880624057599473,0.24177739189598432,1.4224648479304434,-3.20045733517406,5.367761541012999,inf,inf,13160000000.0,36750000000.0,33110000000.0,25610000000.0,17140000000.0,0
00101488,1,1,009450,경동나비엔,204060000000.0,141560000000.0,66260000000.0,122370000000.0,56550000000.0,3690000000.0,62510000000.0,253010000000.0,25789999999.0,6959999999.0,10000000000.0,14840000000.0,2010-09-01,77965801200.0,30000.0,30000.0,0.3247084190924238,0.5507615230291043,2.163925729442971,0.7677725243462258,21.128943414634147,0.30815304217224615,3.0231020241575455,7740000000.0,7650000000.0,5990000000.0,4970000000.0,5420000000.0,0
00101628,1,1,000050,경방,1481470000000.0,714370000000.0,22000000000.0,146230000000.0,179030000000.0,-240000000.0,767100000000.0,197280000000.0,17130000000.0,-16290000000.0,0.0,27100000000.0,2010-09-01,234000000000.0,113500.0,113500.0,0.014850115088391935,0.3275613477609642,0.8167904820421158,-2.653290598290598,-975.0,1.186131386861314,13.660245183887916,-14930000000.0,60490000000.0,-21700000000.0,770000000.0,-9450000000.0,0
00102113,1,1,012610,경인양행,277910000000.0,167810000000.0,53500000000.0,138780000000.0,83040000000.0,14619999999.0,110109999999.0,267969999999.0,24270000000.0,26170000000.0,5000000000.0,29510000000.0,2010-09-01,133875000000.0,3570.0,3570.0,0.19250836601777555,0.7977772480781836,1.671242774566474,0.21415499533893556,9.156976744812379,0.4995895062898817,5.516069221260816,12869999999.0,4250000000.0,880000000.0,2530000000.0,4300000000.0,0
00102432,1,1,013580,계룡건설산업,1340140000000.0,495770000000.0,131200000000.0,1027620000000.0,599430000000.0,33900000000.0,844370000000.0,1678270000000.0,-4980000000.0,47540000000.0,40000000000.0,72090000000.0,2010-09-01,117887972400.0,13400.0,13400.0,0.09790021938006477,0.23778762813401375,1.7143286121815724,1.5544418677269574,3.4775213097345135,0.07024374647702694,-23.672283614457832,36870000000.0,48890000000.0,54340000000.0,49680000000.0,36900000000.0,0
00102618,1,1,012200,계양전기,147760000000.0,126800000000.0,30989999999.0,100760000000.0,17580000000.0,4660000000.0,20950000000.0,166870000000.0,5920000000.0,2390000000.0,4000000000.0,8710000000.0,2010-09-01,80685000000.0,2420.0,2420.0,0.2097319978275582,0.6363170347003154,5.731513083048919,0.9891553572535168,17.314377682403432,0.48352010547132496,13.629222972972974,4660000000.0,8980000000.0,5340000000.0,2260000000.0,1030000000.0,0
00102760,1,1,011160,두산건설,3167740000000.0,872960000000.0,300280000000.0,2192559999999.0,1603510000000.0,51400000000.0,2294780000000.0,2456390000000.0,76030000000.0,126470000000.0,127400000000.0,147850000000.0,2010-09-01,324528577980.0,4915.0,4915.0,0.09479313327482684,0.3717565271948314,1.3673503751139688,-0.3149799645912835,6.313785563813229,0.1321160638090857,4.26842796238327,41300000000.0,74230000000.0,15730000000.0,40060000000.0,29700000000.0,0
