기업코드,IFRS,CFS,종목코드,회사명,자산총계,자본총계,매출총이익,유동자산,유동부채,당기순이익,부채총계,매출액(수익),영업활동으로인한현금흐름,날짜,시가총액,주가,주식수,GP/A,PBR,유동비율,NCAV,PER,2005-당기순이익,2004-당기순이익,2003-당기순이익,2002-당기순이익,2001-당기순이익,증자
00100717,1,1,023430,아이이,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-660000000.0,2007-10-01,79165655690.0,2530.0,2530.0,,inf,,0.0,inf,-5840000000.0,-9020000000.0,-7359999999.0,-75100000000.0,-4460000000.0,0
00100939,1,1,000860,강남제비스코,311750000000.0,229940000000.0,48230000000.0,113870000000.0,60370000000.0,14260000000.0,81820000000.0,277350000000.0,11370000000.0,2007-10-01,157300000000.0,24200.0,24200.0,0.15470729751403367,0.6840915021309907,1.886201755838993,0.20375079465988558,11.030855539971949,11710000000.0,18870000000.0,17520000000.0,17520000000.0,1700000000.0,0
00101220,1,1,001390,KG케미칼,255069999999.0,98650000000.0,55000000000.0,143210000000.0,108430000000.0,11690000000.0,156420000000.0,248119999999.0,5990000000.0,2007-10-01,106358000000.0,9940.0,9940.0,0.21562708276244022,1.078134820070958,1.3207599372867287,-0.12420316290264954,9.098203592814372,9640000000.0,6459999999.0,18790000000.0,-8660000000.0,-2890000000.0,0
00101257,1,1,000800,경남기업,942229999999.0,360980000000.0,123850000000.0,762150000000.0,464639999999.0,33130000000.0,581250000000.0,0.0,0.0,2007-10-01,557266086400.0,38800.0,38800.0,0.131443490443025,1.5437588963377473,1.640302169425018,0.32462050789531055,16.820588179897374,25610000000.0,17140000000.0,13160000000.0,19180000000.0,20040000000.0,0
00101433,1,1,002100,경농,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11870000000.0,2007-10-01,142731715000.0,6580.0,6580.0,,inf,,0.0,inf,8980000000.0,4600000000.0,500000000.0,6060000000.0,5940000000.0,0
00101488,1,1,009450,경동나비엔,174190000000.0,120490000000.0,38290000000.0,110580000000.0,45660000000.0,6010000000.0,53700000000.0,189350000000.0,17060000000.0,2007-10-01,58867200000.0,25550.0,25550.0,0.2198174407256444,0.4885650261432484,2.4218134034165573,0.9662426614481409,9.794875207986689,4970000000.0,5420000000.0,9320000000.0,17010000000.0,10890000000.0,0
00101628,1,1,000050,경방,615500000000.0,319300000000.0,34720000000.0,135520000000.0,256140000000.0,-22170000000.0,296200000000.0,199390000000.0,3940000000.0,2007-10-01,505440000000.0,243000.0,243000.0,0.05640942323314378,1.5829627309740055,0.5290856562817209,-0.31790123456790126,-22.798376184032477,770000000.0,-9450000000.0,190000000.0,3529999999.0,-310000000.0,0
00102113,1,1,012610,경인양행,121820000000.0,67610000000.0,17330000000.0,77180000000.0,42710000000.0,1019999999.0,54210000000.0,123480000000.0,1080000000.0,2007-10-01,48762000000.0,16200.0,16200.0,0.1422590707601379,0.7212246709066706,1.8070709435729337,0.471063533079037,47.80588239980969,2530000000.0,4300000000.0,3010000000.0,4600000000.0,5760000000.0,0
00102432,1,1,013580,계룡건설산업,706630000000.0,356490000000.0,160830000000.0,503260000000.0,219590000000.0,58179999999.0,350140000000.0,1108760000000.0,61750000000.0,2007-10-01,487627522200.0,54600.0,54600.0,0.22760143214978135,1.3678575056803837,2.2918165672389454,0.3140101676566114,8.381359955455162,49680000000.0,36900000000.0,35430000000.0,31670000000.0,25550000000.0,0
00102618,1,1,012200,계양전기,129140000000.0,110670000000.0,24560000000.0,89070000000.0,15030000000.0,5300000000.0,18470000000.0,138890000000.0,4100000000.0,2007-10-01,117360000000.0,3600.0,3600.0,0.19018119869908626,1.0604499864461914,5.926147704590818,0.6015678254942058,22.143396226415096,2260000000.0,1030000000.0,1120000000.0,11190000000.0,10550000000.0,0
00102645,1,1,012410,글로스텍,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3250000000.0,2007-10-01,74340000000.0,3540.0,3540.0,,inf,,0.0,inf,-420000000.0,990000000.0,1630000000.0,-1810000000.0,-3629999999.0,0
00102760,1,1,011160,두산건설,1741320000000.0,477310000000.0,277150000000.0,1022290000000.0,819170000000.0,15730000000.0,1264010000000.0,1912359999999.0,104300000000.0,2007-10-01,1181463796800.0,14400.0,14400.0,0.1591608664691154,2.475254649598793,1.2479582992541232,-0.20459365801533633,75.10895084551812,40060000000.0,29700000000.0,-4830000000.0,-134240000000.0,51610000000.0,0
00102858,1,1,010130,고려아연,2326180000000.0,1280070000000.0,568230000000.0,1208890000000.0,561770000000.0,428370000000.0,1046110000000.0,2990670000000.0,261530000000.0,2007-10-01,3226770000000.0,171000.0,171000.0,0.2442760233515893,2.5207762075511497,2.1519305053669653,0.05044673156128265,7.532670355066881,70970000000.0,117520000000.0,42410000000.0,78850000000.0,35980000000.0,0
00103006,1,1,002240,고려제강,941160000000.0,622180000000.0,120700000000.0,346050000000.0,209760000000.0,20080000000.0,318980000000.0,598400000000.0,67090000000.0,2007-10-01,610000000000.0,61000.0,61000.0,0.12824599430490033,0.9804236716062875,1.6497425629290619,0.044377049180327865,30.378486055776893,35030000000.0,39020000000.0,37800000000.0,27310000000.0,40800000000.0,0
00103042,1,1,009070,케이씨티시,179620000000.0,99700000000.0,27450000000.0,53779999999.0,42890000000.0,1400000000.0,79920000000.0,193020000000.0,6640000000.0,2007-10-01,114300000000.0,38100.0,38100.0,0.15282262554281262,1.1464393179538617,1.2539053392166006,-0.22869641295713036,81.64285714285714,2860000000.0,3790000000.0,2150000000.0,1220000000.0,1510000000.0,1
00103510,1,1,023800,인지컨트롤스,260490000000.0,114020000000.0,58900000000.0,137070000000.0,123930000000.0,18520000000.0,146470000000.0,440780000000.0,40130000000.0,2007-10-01,115974979200.0,7650.0,7650.0,0.2261123267687819,1.0171459322925802,1.1060275962236747,-0.08105196538806536,6.262147904967603,16100000000.0,9550000000.0,7870000000.0,5360000000.0,5040000000.0,0
00103644,1,1,042370,비츠로테크,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10170000000.0,2007-10-01,33759465155.0,3005.0,3005.0,,inf,,0.0,inf,-969999999.0,540000000.0,1240000000.0,2320000000.0,2010000000.0,1
00103662,1,1,017040,광명전기,72780000000.0,53900000000.0,7320000000.0,43070000000.0,16290000000.0,4860000000.0,18880000000.0,52920000000.0,-2700000000.0,2007-10-01,105131780450.0,2810.0,2810.0,0.10057708161582853,1.9504968543599257,2.643953345610804,0.2300921747587506,21.63205359053498,4179999999.0,220000000.0,2220000000.0,1060000000.0,17520000000.0,0
00104388,1,1,007690,국도화학,263519999999.0,161310000000.0,44770000000.0,185640000000.0,0.0,17190000000.0,102210000000.0,347150000000.0,4029999999.0,2007-10-01,187392366000.0,32250.0,32250.0,0.16989222829451234,1.1616909429049656,inf,0.445215575110461,10.901242931937173,10790000000.0,9240000000.0,6260000000.0,9180000000.0,5950000000.0,0
00104573,1,1,078130,국일제지,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7340000000.0,2007-10-01,22200000000.0,11100.0,11100.0,,inf,,0.0,inf,1820000000.0,3500000000.0,6890000000.0,3400000000.0,2440000000.0,1
00104704,1,1,025610,한국저축은행,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155480000000.0,2007-10-01,190750000000.0,27250.0,27250.0,,inf,,0.0,inf,35040000000.0,23200000000.0,17920000000.0,17800000000.0,-9470000000.0,0
00104810,1,1,007720,대명소노시즌,85950000000.0,68820000000.0,5240000000.0,61240000000.0,2130000000.0,3140000000.0,17130000000.0,16080000000.0,3300000000.0,2007-10-01,89574045660.0,1980.0,1980.0,0.06096567771960442,1.301569974716652,28.751173708920188,0.49244175223959624,28.526766133757963,1810000000.0,-1630000000.0,26700000000.0,10200000000.0,-67490000000.0,0
00104856,1,1,016360,삼성증권,0.0,0.0,0.0,0.0,0.0,231290000000.0,0.0,0.0,392510000000.0,2007-10-01,6008481333500.0,89900.0,89900.0,,inf,,0.0,25.978128468589215,31389999999.0,96700000000.0,57540000000.0,57379999999.0,194340000000.0,0
