기업코드,IFRS,CFS,종목코드,회사명,자산총계,자본총계,매출총이익,유동자산,유동부채,당기순이익,부채총계,날짜,시가총액,GP/A,PBR,유동비율,NCAV,2007-당기순이익,2006-당기순이익,2005-당기순이익,2004-당기순이익,2003-당기순이익
00100939,1,1,000860,강남제비스코,334680000000.0,251990000000.0,42870000000.0,120820000000.0,63550000000.0,8290000000.0,82690000000.0,2009-10-01,90350000000.0,0.1280925062746504,0.35854597404658917,1.9011801730920534,0.42202545655783064,12530000000.0,12540000000.0,11710000000.0,18870000000.0,17520000000.0
00101044,1,1,003060,에이프로젠제약,31610000000.0,19530000000.0,6310000000.0,18490000000.0,10340000000.0,-5490000000.0,12080000000.0,2009-10-01,21584323800.0,0.19962037329958873,1.1051881105990784,1.7882011605415862,0.2969747887121671,-10500000000.0,-2730000000.0,-5380000000.0,-4120000000.0,-4850000000.0
00101220,1,1,001390,KG케미칼,429339999999.0,192430000000.0,75890000000.0,169480000000.0,158860000000.0,6440000000.0,236910000000.0,2009-10-01,130005000000.0,0.17675967764516878,0.6755963207400093,1.0668513156238197,-0.5186723587554325,-3700000000.0,11300000000.0,9640000000.0,6459999999.0,18790000000.0
00101257,1,1,000800,경남기업,2198850000000.0,533150000000.0,154710000000.0,1499950000000.0,1206920000000.0,12919999999.0,1665700000000.0,2009-10-01,203804274900.0,0.07035950610546422,0.38226441883147333,1.2427915686209525,-0.8132802910112068,36750000000.0,33110000000.0,25610000000.0,17140000000.0,13160000000.0
00101488,1,1,009450,경동나비엔,197390000000.0,142360000000.0,52260000000.0,114570000000.0,46280000000.0,7690000000.0,55029999999.0,2009-10-01,95040000000.0,0.26475505344748973,0.667603259342512,2.475583405358686,0.6264730639835858,7650000000.0,5990000000.0,4970000000.0,5420000000.0,9320000000.0
00101628,1,1,000050,경방,787720000000.0,407490000000.0,7820000000.0,127350000000.0,277230000000.0,-14840000000.0,380230000000.0,2009-10-01,299520000000.0,0.00992738536535825,0.7350364426120887,0.4593658694946434,-0.844284188034188,60490000000.0,-21700000000.0,770000000.0,-9450000000.0,190000000.0
00102113,1,1,012610,경인양행,205080000000.0,108809999999.0,67990000000.0,134520000000.0,81170000000.0,17240000000.0,96270000000.0,2009-10-01,122625000000.0,0.3315291593524478,1.1269644334264035,1.6572625354194899,0.3119266055045872,4250000000.0,880000000.0,2530000000.0,4300000000.0,3010000000.0
00102432,1,1,013580,계룡건설산업,1172600000000.0,430310000000.0,129500000000.0,938220000000.0,413560000000.0,40690000000.0,742300000000.0,2009-10-01,191121409800.0,0.11043834214565922,0.4441481950221933,2.2686430022245867,1.0251075492014292,48890000000.0,54340000000.0,49680000000.0,36900000000.0,35430000000.0
00102618,1,1,012200,계양전기,143380000000.0,124740000000.0,31860000000.0,98340000000.0,15140000000.0,4660000000.0,18640000000.0,2009-10-01,80848000000.0,0.22220672339238387,0.6481321147987814,6.495376486129459,0.9858005145458144,8980000000.0,5340000000.0,2260000000.0,1030000000.0,1120000000.0
00102760,1,1,011160,두산건설,2601510000000.0,850550000000.0,282660000000.0,1603940000000.0,1288630000000.0,42020000000.0,1750959999999.0,2009-10-01,538653974250.0,0.10865228271273222,0.6333007750867086,1.2446862171453403,-0.272939599496513,74230000000.0,15730000000.0,40060000000.0,29700000000.0,-4830000000.0
00102858,1,1,010130,고려아연,2679670000000.0,1854550000000.0,631580000000.0,1344250000000.0,379240000000.0,289670000000.0,825120000000.0,2009-10-01,3321120000000.0,0.23569320102848484,1.7907956107950715,3.5445891783567136,0.15631172616466735,421710000000.0,425239999999.0,70970000000.0,117520000000.0,42410000000.0
00103006,1,1,002240,고려제강,1406830000000.0,827990000000.0,261780000000.0,596990000000.0,409540000000.0,128609999999.0,578840000000.0,2009-10-01,537550000000.0,0.18607791986238564,0.6492228167006848,1.457708648727841,0.033764300995256256,32760000000.0,15330000000.0,35030000000.0,39020000000.0,37800000000.0
00103042,1,1,009070,케이씨티시,187360000000.0,118180000000.0,36010000000.0,64179999999.0,29810000000.0,4990000000.0,69170000000.0,2009-10-01,57450000000.0,0.19219684030742953,0.4861228634286681,2.1529688023817513,-0.08685813752828546,14510000000.0,1250000000.0,2860000000.0,3790000000.0,2150000000.0
00103510,1,1,023800,인지컨트롤스,315510000000.0,147850000000.0,48160000000.0,129259999999.0,141460000000.0,9260000000.0,167660000000.0,2009-10-01,48360808320.0,0.15264175461950494,0.3270937322962462,0.9137565389438711,-0.7940313930840435,9040000000.0,10780000000.0,16100000000.0,9550000000.0,7870000000.0
00103662,1,1,017040,광명전기,101900000000.0,58970000000.0,9080000000.0,58470000000.0,39030000000.0,-350000000.0,42920000000.0,2009-10-01,52752957450.0,0.08910696761530913,0.8945727904018993,1.4980784012298232,0.29477020344761734,840000000.0,4700000000.0,4179999999.0,220000000.0,2220000000.0
00104388,1,1,007690,국도화학,373440000000.0,216300000000.0,54610000000.0,256519999999.0,0.0,29400000000.0,157140000000.0,2009-10-01,149332831200.0,0.14623500428449016,0.6903968155339806,inf,0.665493309143127,13250000000.0,16910000000.0,10790000000.0,9240000000.0,6260000000.0
00104698,1,1,000680,LS네트웍스,650140000000.0,444689999999.0,74990000000.0,219710000000.0,17240000000.0,23190000000.0,205450000000.0,2009-10-01,497473793430.0,0.11534438736272187,1.1186979546001006,12.744199535962878,0.028664826546298337,19340000000.0,-5910000000.0,2010000000.0,26260000000.0,21500000000.0
00104810,1,1,007720,대명소노시즌,132100000000.0,86820000000.0,26580000000.0,46760000000.0,34800000000.0,-2030000000.0,45280000000.0,2009-10-01,51213984945.0,0.2012112036336109,0.5898869493780236,1.3436781609195403,0.02889835660297494,3080000000.0,2520000000.0,1810000000.0,-1630000000.0,26700000000.0
00104856,1,1,016360,삼성증권,0.0,0.0,0.0,0.0,0.0,376440000000.0,0.0,2009-10-01,4544791220000.0,,inf,,0.0,204260000000.0,220030000000.0,31389999999.0,96700000000.0,57540000000.0
00104999,1,1,008600,윌비스,261210000000.0,157600000000.0,34180000000.0,158380000000.0,95690000000.0,5230000000.0,103609999999.0,2009-10-01,36021530500.0,0.1308525707285326,0.22856301078680202,1.6551363778869266,1.5204795365649442,5300000000.0,1950000000.0,-31610000000.0,-33120000000.0,10330000000.0
00105040,1,1,012340,뉴인텍,49090000000.0,13740000000.0,1280000000.0,26189999999.0,32550000000.0,-9070000000.0,35360000000.0,2009-10-01,62730913840.0,0.02607455693623956,4.56556869286754,0.8046082949001536,-0.1461799205474479,120000000.0,-14050000000.0,-100000000.0,2310000000.0,-7100000000.0
00105271,1,1,002380,케이씨씨,6272350000000.0,3820769999999.0,735290000000.0,2477330000000.0,1157940000000.0,222969999999.0,2451580000000.0,2009-10-01,3597840000000.0,0.11722719554871779,0.9416531222766462,2.1394286405167797,0.007157072020990372,203070000000.0,196040000000.0,178060000000.0,130630000000.0,193910000000.0
00105280,1,1,005440,현대그린푸드,694640000000.0,491380000000.0,120130000000.0,313700000000.0,140560000000.0,56950000000.0,203260000000.0,2009-10-01,433182728400.0,0.17293850051825405,0.8815636134966828,2.231787137165623,0.2549501463456778,32920000000.0,23460000000.0,37440000000.0,24080000000.0,24250000000.0
00105299,1,1,014280,금강공업,431710000000.0,142740000000.0,79080000000.0,231480000000.0,252740000000.0,1739999999.0,288970000000.0,2009-10-01,59728357200.0,0.18317852261935094,0.418441622530475,0.9158819340033236,-0.962524380295529,1570000000.0,5760000000.0,6470000000.0,17090000000.0,14910000000.0
00105855,1,1,010120,엘에스일렉트릭,1185470000000.0,509150000000.0,295000000000.0,655830000000.0,537500000000.0,94780000000.0,676320000000.0,2009-10-01,2724000000000.0,0.24884644908770362,5.350093292742806,1.2201488372093023,-0.007522026431718062,110730000000.0,99540000000.0,82290000000.0,84430000000.0,-55020000000.0
00105873,1,1,034220,LG디스플레이,17388370000000.0,9288620000000.0,2647020000000.0,7018010000000.0,4785880000000.0,1086779999999.0,8099739999999.0,2009-10-01,12022607520000.0,0.15222933489453008,1.2943373202908506,1.4663990739425141,-0.08997465800987904,1344030000000.0,-769310000000.0,517010000000.0,1655450000000.0,1019100000000.0
00105952,1,1,006260,LS,7699250000000.0,2412430000000.0,1496960000000.0,4425000000000.0,3755800000000.0,137590000000.0,5286820000000.0,2009-10-01,3236100000000.0,0.19442932753190245,1.3414275232856498,1.1781777517439693,-0.26631439077902413,183960000000.0,215310000000.0,113270000000.0,117830000000.0,58329999999.0
