기업코드,IFRS,CFS,종목코드,회사명,자산총계,자본총계,매출총이익,유동자산,유동부채,당기순이익,부채총계,매출액(수익),영업활동으로인한현금흐름,날짜,시가총액,주가,주식수,GP/A,PBR,유동비율,NCAV,PER,PSR,PCR,2001-당기순이익,2000-당기순이익,1999-당기순이익,1998-당기순이익,1997-당기순이익,증자
00100939,1,1,000860,강남제비스코,272200000000.0,173690000000.0,41590000000.0,94930000000.0,77340000000.0,18580000000.0,98510000000.0,232010000000.0,24590000000.0,2003-10-01,33352387200.0,34200.0,34200.0,0.15279206465833944,0.19202249525015833,1.2274372898888026,-0.10733864351394913,1.7950692787944025,0.1437540933580449,1.3563394550630337,1700000000.0,4780000000.0,8910000000.0,19240000000.0,,0
00101220,1,1,001390,KG케미칼,118690000000.0,-6940000000.0,26260000000.0,69570000000.0,15950000000.0,-8660000000.0,125630000000.0,136750000000.0,1260000000.0,2003-10-01,52459750300.0,470.0,470.0,0.2212486308871851,-7.559041829971181,4.361755485893417,-1.0686287997829071,-6.0577078868360275,0.3836179180987203,41.63472246031746,-2890000000.0,16900000000.0,-14450000000.0,-40270000000.0,,0
00101488,1,1,009450,경동나비엔,159980000000.0,96920000000.0,54810000000.0,117440000000.0,55729999999.0,17240000000.0,63060000000.0,210790000000.0,18430000000.0,2003-10-01,38476800000.0,16700.0,16700.0,0.3426053256657082,0.3969954601733388,2.1073030684031457,1.4133191949434465,2.231832946635731,0.18253617344276293,2.087726532826913,10890000000.0,6140000000.0,6680000000.0,1830000000.0,,0
00101628,1,1,000050,경방,559260000000.0,358070000000.0,46780000000.0,93550000000.0,175220000000.0,-600000000.0,201200000000.0,330180000000.0,8150000000.0,2003-10-01,67184000000.0,32300.0,32300.0,0.08364624682616315,0.1876281174072109,0.5339002396986645,-1.6023160276256252,-111.97333333333333,0.20347689139257374,8.243435582822086,-310000000.0,2350000000.0,9240000000.0,4510000000.0,,0
00102353,1,1,024910,경창산업,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9080000000.0,2003-10-01,15009800000.0,1255.0,1255.0,,inf,,0.0,inf,inf,1.6530616740088107,3260000000.0,4170000000.0,2280000000.0,140000000.0,,0
00102432,1,1,013580,계룡건설산업,458670000000.0,203490000000.0,69190000000.0,251490000000.0,165640000000.0,33400000000.0,255180000000.0,557010000000.0,-27339999999.0,2003-10-01,91541796750.0,10250.0,10250.0,0.15084919440992434,0.4498589451570102,1.5182926829268293,-0.040309455691342436,2.740772357784431,0.16434497899499112,-3.3482734730558987,25550000000.0,15569999999.0,12890000000.0,5180000000.0,,0
00102618,1,1,012200,계양전기,130809999999.0,107830000000.0,30230000000.0,80510000000.0,19410000000.0,11500000000.0,22980000000.0,139570000000.0,6590000000.0,2003-10-01,61125000000.0,1875.0,1875.0,0.23109853986874931,0.566864508949272,4.147861926841834,0.9411860940695297,5.315217391304348,0.43795228200902775,9.275417298937784,10550000000.0,8760000000.0,10700000000.0,4450000000.0,,0
00102645,1,1,012410,글로스텍,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1280000000.0,2003-10-01,10351946880.0,4320.0,4320.0,,inf,,0.0,inf,inf,8.0874585,-3629999999.0,3260000000.0,2030000000.0,1689999999.0,,0
00102858,1,1,010130,고려아연,1629790000000.0,636890000000.0,132450000000.0,551080000000.0,452050000000.0,87600000000.0,992910000000.0,1470390000000.0,94730000000.0,2003-10-01,415140000000.0,22000.0,22000.0,0.08126813883997325,0.6518237058204713,1.219068687092136,-1.0642915642915642,4.739041095890411,0.2823332585232489,4.382349836377072,35980000000.0,8940000000.0,45520000000.0,59300000000.0,,0
00103006,1,1,002240,고려제강,723210000000.0,480470000000.0,91560000000.0,202060000000.0,163980000000.0,29110000000.0,242740000000.0,459710000000.0,14130000000.0,2003-10-01,109500000000.0,14600.0,14600.0,0.1266022317169287,0.22790184610901826,1.2322234418831566,-0.3715068493150685,3.761593953967709,0.23819364381892932,7.749469214437367,40800000000.0,16190000000.0,30010000000.0,35890000000.0,,1
