기업코드,IFRS,CFS,종목코드,회사명,자산총계,자본총계,매출총이익,유동자산,유동부채,당기순이익,부채총계,날짜,시가총액,GP/A,PBR,유동비율,NCAV,2004-당기순이익,2003-당기순이익,2002-당기순이익,2001-당기순이익,2000-당기순이익
00100939,1,1,000860,강남제비스코,294970000000.0,217030000000.0,45520000000.0,103709999999.0,59979999999.0,12900000000.0,77940000000.0,2006-10-02,92950000000.0,0.15432077838424246,0.4282818043588444,1.7290763587984175,0.27724583108122647,18870000000.0,17520000000.0,17520000000.0,1700000000.0,4780000000.0
00101220,1,1,001390,KG케미칼,225980000000.0,86860000000.0,49160000000.0,117150000000.0,81880000000.0,9700000000.0,139120000000.0,2006-10-02,67945000000.0,0.2175413753429507,0.7822357817177067,1.430752320468979,-0.3233497681948635,6459999999.0,18790000000.0,-8660000000.0,-2890000000.0,16900000000.0
00101257,1,1,000800,경남기업,781420000000.0,315600000000.0,97740000000.0,637350000000.0,358480000000.0,26810000000.0,465810000000.0,2006-10-02,200357265600.0,0.12507998259578715,0.6348455817490495,1.7779234545860298,0.8561705984871456,17140000000.0,13160000000.0,19180000000.0,20040000000.0,7240000000.0
00101488,1,1,009450,경동나비엔,163030000000.0,115800000000.0,35920000000.0,112150000000.0,39020000000.0,4980000000.0,47240000000.0,2006-10-02,52531200000.0,0.22032754707722504,0.45363730569948185,2.8741670937980524,1.2356466252436646,5420000000.0,9320000000.0,17010000000.0,10890000000.0,6140000000.0
00101628,1,1,000050,경방,521050000000.0,341120000000.0,38170000000.0,86420000000.0,138330000000.0,1170000000.0,179930000000.0,2006-10-02,265200000000.0,0.07325592553497745,0.7774390243902439,0.6247379454926625,-0.35260180995475116,-9450000000.0,190000000.0,3529999999.0,-310000000.0,2350000000.0
00102113,1,1,012610,경인양행,124090000000.0,68930000000.0,17340000000.0,79070000000.0,44010000000.0,2660000000.0,55160000000.0,2006-10-02,34200000000.0,0.13973728745265532,0.4961555200928478,1.7966371279254716,0.6991228070175438,4300000000.0,3010000000.0,4600000000.0,5760000000.0,2480000000.0
00102432,1,1,013580,계룡건설산업,611990000000.0,306450000000.0,133730000000.0,387320000000.0,192360000000.0,55350000000.0,305550000000.0,2006-10-02,329550468300.0,0.21851664242879787,1.075380872246696,2.0135163235599918,0.24812588014762654,36900000000.0,35430000000.0,31670000000.0,25550000000.0,15569999999.0
00102618,1,1,012200,계양전기,123030000000.0,106480000000.0,18780000000.0,80690000000.0,13319999999.0,2260000000.0,16550000000.0,2006-10-02,66178000000.0,0.15264569617166546,0.6215063861758077,6.057807808262599,0.9692042672791562,1030000000.0,1120000000.0,11190000000.0,10550000000.0,8760000000.0
00102760,1,1,011160,두산건설,1790950000000.0,308400000000.0,238510000000.0,1181190000000.0,1020670000000.0,40060000000.0,1482540000000.0,2006-10-02,870590801470.0,0.13317513051732321,2.822927371822309,1.157269244711807,-0.34614424996355114,29700000000.0,-4830000000.0,-134240000000.0,51610000000.0,-330080000000.0
00102858,1,1,010130,고려아연,1872230000000.0,794090000000.0,232400000000.0,922729999999.0,597830000000.0,75240000000.0,1078140000000.0,2006-10-02,1583193000000.0,0.12413004812442915,1.993719855432004,1.5434655336784704,-0.09816238449828922,117520000000.0,42410000000.0,78850000000.0,35980000000.0,8940000000.0
00103006,1,1,002240,고려제강,933379999999.0,617890000000.0,134470000000.0,353080000000.0,213660000000.0,37760000000.0,315490000000.0,2006-10-02,230500000000.0,0.14406779661032384,0.37304374565052034,1.652532060282692,0.16308026030368764,39020000000.0,37800000000.0,27310000000.0,40800000000.0,16190000000.0
00103042,1,1,009070,케이씨티시,173800000000.0,98450000000.0,30250000000.0,44720000000.0,47590000000.0,2920000000.0,75350000000.0,2006-10-02,39720000000.0,0.17405063291139242,0.40345352971051296,0.9396932128598445,-0.7711480362537765,3790000000.0,2150000000.0,1220000000.0,1510000000.0,810000000.0
00103510,1,1,023800,인지컨트롤스,247840000000.0,100050000000.0,51190000000.0,137970000000.0,117890000000.0,24650000000.0,147800000000.0,2006-10-02,130680303360.0,0.20654454486765655,1.3061499586206897,1.170328272118076,-0.07522174151157404,9550000000.0,7870000000.0,5360000000.0,5040000000.0,4720000000.0
00103662,1,1,017040,광명전기,71840000000.0,46220000000.0,6409999999.0,35600000000.0,17730000000.0,4350000000.0,25620000000.0,2006-10-02,28060083750.0,0.08922605789253897,0.6070983070099524,2.0078962210941906,0.3556653675347637,220000000.0,2220000000.0,1060000000.0,17520000000.0,-760000000.0
00104388,1,1,007690,국도화학,228300000000.0,138930000000.0,38490000000.0,156210000000.0,0.0,10940000000.0,89370000000.0,2006-10-02,110401704000.0,0.16859395532194482,0.7946570503131073,inf,0.6054254379986743,9240000000.0,6260000000.0,9180000000.0,5950000000.0,7390000000.0
