기업코드,IFRS,CFS,종목코드,회사명,자산총계,자본총계,매출총이익,유동자산,유동부채,당기순이익,부채총계,날짜,시가총액,GP/A,PBR,유동비율,NCAV,2006-당기순이익,2005-당기순이익,2004-당기순이익,2003-당기순이익,2002-당기순이익
00104856,1,1,016360,삼성증권,0.0,0.0,0.0,0.0,0.0,219600000000.0,0.0,2008-10-01,4858916495500.0,,inf,,0.0,220030000000.0,31389999999.0,96700000000.0,57540000000.0,57379999999.0
00104999,1,1,008600,윌비스,187420000000.0,127250000000.0,26850000000.0,119559999999.0,55090000000.0,5920000000.0,60170000000.0,2008-10-01,34956546120.0,0.14326112474655853,0.2747076315913556,2.1702668360682518,1.6989664766972121,1950000000.0,-31610000000.0,-33120000000.0,10330000000.0,-10260000000.0
00105040,1,1,012340,뉴인텍,34630000000.0,8059999999.0,5370000000.0,19310000000.0,25490000000.0,130000000.0,26570000000.0,2008-10-01,31755200000.0,0.15506786023678892,3.9398511171141255,0.757551981169086,-0.2286239733964831,-14050000000.0,-100000000.0,2310000000.0,-7100000000.0,-2020000000.0
00105271,1,1,002380,케이씨씨,7688850000000.0,4809610000000.0,677360000000.0,2642510000000.0,1097390000000.0,246590000000.0,2879240000000.0,2008-10-01,3750380000000.0,0.08809639933149951,0.7797680061377118,2.407995334384312,-0.06312160367749402,196040000000.0,178060000000.0,130630000000.0,193910000000.0,154320000000.0
00105280,1,1,005440,현대그린푸드,843929999999.0,549940000000.0,121250000000.0,299070000000.0,173610000000.0,35520000000.0,293990000000.0,2008-10-01,408199032000.0,0.14367305345247078,0.7422610321125941,1.72265422498704,0.01244490947249478,23460000000.0,37440000000.0,24080000000.0,24250000000.0,84710000000.0
00105299,1,1,014280,금강공업,387410000000.0,146200000000.0,50020000000.0,189540000000.0,170710000000.0,2450000000.0,241210000000.0,2008-10-01,48559640000.0,0.12911385870266642,0.3321452804377565,1.1103040243688127,-1.0640523694162478,5760000000.0,6470000000.0,17090000000.0,14910000000.0,19540000000.0
00105855,1,1,010120,엘에스일렉트릭,971920000000.0,454160000000.0,281180000000.0,495910000000.0,396140000000.0,110740000000.0,517760000000.0,2008-10-01,1470000000000.0,0.2893036463906494,3.2367447595561036,1.25185540465492,-0.014863945578231293,99540000000.0,82290000000.0,84430000000.0,-55020000000.0,4110000000.0
00105873,1,1,034220,LG디스플레이,13779840000000.0,8289460000000.0,2236600000000.0,5746130000000.0,2401220000000.0,1344030000000.0,5490380000000.0,2008-10-01,10716580215000.0,0.16230957688913658,1.2927959378536118,2.3930043894353705,0.023864889252825885,-769310000000.0,517010000000.0,1655450000000.0,1019100000000.0,288790000000.0
00105952,1,1,006260,LS,5437910000000.0,2297750000000.0,1044860000000.0,3160710000000.0,2274170000000.0,361470000000.0,3140160000000.0,2008-10-01,2543800000000.0,0.19214367284489814,1.1070830159939071,1.3898301358297753,0.008078465288151584,215310000000.0,113270000000.0,117830000000.0,58329999999.0,73010000000.0
00106119,1,1,001570,금양,54529999999.0,21430000000.0,9230000000.0,33639999999.0,29450000000.0,30000000.0,33100000000.0,2008-10-01,18496054760.0,0.1692646249801809,0.8630916826878208,1.1422750424108659,0.029195415238919848,520000000.0,6100000000.0,229999999.0,-5220000000.0,-33620000000.0
00106313,1,1,002990,금호산업,15442200000000.0,2219450000000.0,1165150000000.0,2397460000000.0,2867360000000.0,177820000000.0,13222750000000.0,2008-10-01,1055108944400.0,0.07545233192161739,0.47539207659555294,0.8361210311924557,-10.259878903932453,194250000000.0,90000000000.0,139650000000.0,20610000000.0,-104909999999.0
